record_id,month,month_name,department,employee_count,gross_wages,fica_medicare_tax,futa_tax,suta_tax,total_payroll_taxes,health_insurance,retirement_401k_match,life_insurance,disability_insurance,total_benefits,bonus_accrual,vacation_accrual,workers_comp_insurance,total_compensation_cost,avg_cost_per_employee
PL-000051,2022-04,April 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,2204.7,832.27,177.26,61.57,3275.8,267.88,1703.08,720.29,29586.59,7396.65
PL-000052,2022-04,April 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,911.09,623.76,72.76,32.61,1640.22,88.82,852.66,346.62,14753.67,7376.83
PL-000053,2022-04,April 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2677.71,1570.32,213.93,95.06,4557.02,134.76,2230.47,824.53,38680.57,7736.11
PL-000054,2022-04,April 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,3918.41,2225.89,353.71,148.38,6646.39,178.83,3433.61,1487.94,59366.6,7420.83
PL-000055,2022-04,April 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2527.05,760.88,116.08,101.04,3505.06,169.11,1764.57,393.49,30304.67,7576.17
PL-000056,2022-04,April 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,3631.35,1844.08,192.98,197.24,5865.66,445.05,3118.63,900.01,53580.88,7654.41
PL-000057,2022-04,April 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,2322.62,640.98,140.63,97.24,3201.47,216.77,1691.89,360.65,28935.21,7233.8
PL-000058,2022-04,April 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,6696.3,4431.71,655.22,272.67,12055.89,544.84,6153.53,1527.45,105623.53,7544.54
PL-000059,2022-04,April 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,6438.54,2411.4,506.31,260.53,9616.77,967.19,5046.22,1771.99,87386.88,7282.24
PL-000060,2022-04,April 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,7315.56,3618.29,521.03,354.46,11809.33,674.17,4940.48,1894.83,87837.12,7319.76
PL-000061,2022-05,May 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,1857.96,1143.36,131.17,87.64,3220.13,267.88,1703.08,373.41,29184.03,7296.01
PL-000062,2022-05,May 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1211.5,440.46,87.09,38.55,1777.61,88.82,852.66,312.28,14856.72,7428.36
PL-000063,2022-05,May 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2412.27,866.2,211.15,110.36,3599.97,134.76,2230.47,450.69,37349.69,7469.94
PL-000064,2022-05,May 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,5171.04,1325.06,276.74,146.11,6918.95,178.83,3433.61,884.67,59035.89,7379.49
PL-000065,2022-05,May 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2193.23,1220.66,143.05,114.71,3671.65,169.11,1764.57,624.23,30702.01,7675.5
PL-000066,2022-05,May 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,4219.0,1736.6,312.12,143.26,6410.98,445.05,3118.63,1331.93,54558.12,7794.02
PL-000067,2022-05,May 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,2307.07,988.02,166.82,115.52,3577.43,216.77,1691.89,451.54,29402.05,7350.51
PL-000068,2022-05,May 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,6966.67,3904.33,355.58,361.66,11588.24,544.84,6153.53,2510.91,106139.34,7581.38
PL-000069,2022-05,May 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,7039.94,3235.58,438.49,232.89,10946.91,967.19,5046.22,1685.23,88630.25,7385.85
PL-000070,2022-05,May 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,5817.14,3181.99,586.9,183.11,9769.14,674.17,4940.48,969.25,84871.34,7072.61
PL-000071,2022-06,June 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,1905.97,785.11,109.41,98.66,2899.15,267.88,1703.08,539.62,29029.27,7257.32
PL-000072,2022-06,June 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,973.99,363.4,64.9,54.59,1456.87,88.82,852.66,353.23,14576.93,7288.47
PL-000073,2022-06,June 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,3097.57,878.67,204.43,107.25,4287.92,134.76,2230.47,920.43,38507.38,7701.48
PL-000074,2022-06,June 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,4847.52,2079.88,261.44,131.78,7320.62,178.83,3433.61,1180.67,59733.56,7466.7
PL-000075,2022-06,June 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,1973.29,1079.87,187.53,100.19,3340.87,169.11,1764.57,549.23,30296.22,7574.05
PL-000076,2022-06,June 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,4490.1,1593.57,260.72,121.34,6465.72,445.05,3118.63,1177.02,54457.96,7779.71
PL-000077,2022-06,June 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,2067.62,1080.48,149.92,114.8,3412.81,216.77,1691.89,468.57,29254.46,7313.61
PL-000078,2022-06,June 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,8905.64,4337.11,546.29,250.7,14039.74,544.84,6153.53,2100.9,108180.83,7727.2
PL-000079,2022-06,June 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,5700.02,2714.52,414.65,345.37,9174.55,967.19,5046.22,1117.69,86290.36,7190.86
PL-000080,2022-06,June 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,6485.25,3446.75,555.47,228.43,10715.9,674.17,4940.48,2073.85,86922.71,7243.56
PL-000081,2022-07,July 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,2515.55,1171.66,171.05,115.63,3973.9,267.88,1703.08,438.57,30002.96,7500.74
PL-000082,2022-07,July 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1167.05,538.24,83.74,45.4,1834.43,88.82,852.66,187.25,14788.52,7394.26
PL-000083,2022-07,July 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,3054.37,1165.4,232.9,99.66,4552.33,134.76,2230.47,601.15,38452.51,7690.5
PL-000084,2022-07,July 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,4472.21,1925.44,331.66,129.56,6858.89,178.83,3433.61,1095.77,59186.92,7398.37
PL-000085,2022-07,July 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2029.03,937.03,179.86,114.58,3260.5,169.11,1764.57,601.9,30268.52,7567.13
PL-000086,2022-07,July 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,3492.72,1375.78,318.07,165.65,5352.22,445.05,3118.63,662.11,52829.54,7547.08
PL-000087,2022-07,July 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,2328.66,994.31,141.49,69.48,3533.94,216.77,1691.89,328.05,29235.08,7308.77
PL-000088,2022-07,July 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,7590.51,4495.58,596.53,320.13,13002.75,544.84,6153.53,1987.59,107030.53,7645.04
PL-000089,2022-07,July 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,7406.72,3316.19,431.97,333.59,11488.47,967.19,5046.22,1530.14,89016.73,7418.06
PL-000090,2022-07,July 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,6985.63,3442.59,489.93,327.67,11245.82,674.17,4940.48,1123.48,86502.26,7208.52
PL-000091,2022-08,August 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,1862.66,1010.47,182.91,93.5,3149.53,267.88,1703.08,658.59,29398.62,7349.65
PL-000092,2022-08,August 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1169.76,501.7,53.03,56.64,1781.13,88.82,852.66,212.87,14760.83,7380.42
PL-000093,2022-08,August 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2254.71,1612.3,183.69,137.06,4187.77,134.76,2230.47,806.17,38292.96,7658.59
PL-000094,2022-08,August 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,4768.24,1701.47,345.3,178.86,6993.87,178.83,3433.61,1192.77,59418.9,7427.36
PL-000095,2022-08,August 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2411.02,1301.44,109.45,76.35,3898.26,169.11,1764.57,677.73,30982.11,7745.53
PL-000096,2022-08,August 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,3323.66,1437.19,229.27,160.16,5150.28,445.05,3118.63,666.56,52632.05,7518.86
PL-000097,2022-08,August 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,2183.78,651.76,111.97,115.16,3062.68,216.77,1691.89,662.5,29098.27,7274.57
PL-000098,2022-08,August 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,6433.66,3670.02,689.93,371.22,11164.82,544.84,6153.53,1364.26,104569.27,7469.23
PL-000099,2022-08,August 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,5645.66,3714.55,567.35,331.27,10258.84,967.19,5046.22,1382.69,87639.65,7303.3
PL-000100,2022-08,August 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,5756.69,2587.6,520.62,337.97,9202.87,674.17,4940.48,1048.44,84384.27,7032.02
PL-000101,2022-09,September 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,1829.33,1093.87,129.78,84.98,3137.97,267.88,1703.08,367.91,29096.38,7274.09
PL-000102,2022-09,September 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1071.85,455.35,62.33,30.7,1620.24,88.82,852.66,161.9,14548.97,7274.49
PL-000103,2022-09,September 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2981.0,900.51,245.78,115.42,4242.71,134.76,2230.47,659.55,38201.29,7640.26
PL-000104,2022-09,September 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,4460.56,2001.37,216.04,146.99,6824.96,178.83,3433.61,774.74,58831.97,7354.0
PL-000105,2022-09,September 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2426.27,1242.07,155.48,112.53,3936.36,169.11,1764.57,355.7,30698.18,7674.55
PL-000106,2022-09,September 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,4350.24,1831.38,318.49,157.45,6657.57,445.05,3118.63,813.01,54285.79,7755.11
PL-000107,2022-09,September 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,1926.49,812.77,165.98,105.73,3010.96,216.77,1691.89,678.8,29062.85,7265.71
PL-000108,2022-09,September 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,8401.07,3489.54,685.36,278.38,12854.35,544.84,6153.53,2008.04,106902.58,7635.9
PL-000109,2022-09,September 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,5649.24,3401.94,531.19,228.73,9811.1,967.19,5046.22,1032.15,86841.37,7236.78
PL-000110,2022-09,September 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,7235.5,3350.71,437.23,298.82,11322.26,674.17,4940.48,1416.13,86871.35,7239.28
PL-000111,2022-10,October 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,2415.88,695.27,160.62,91.38,3363.15,267.88,1703.08,485.92,29439.56,7359.89
PL-000112,2022-10,October 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,971.87,403.79,96.44,32.89,1504.99,88.82,852.66,356.87,14628.69,7314.34
PL-000113,2022-10,October 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2862.63,1129.72,151.13,86.68,4230.14,134.76,2230.47,827.94,38357.11,7671.42
PL-000114,2022-10,October 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,4647.63,1591.6,200.2,166.77,6606.2,178.83,3433.61,1458.89,59297.36,7412.17
PL-000115,2022-10,October 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2460.94,998.65,178.79,68.22,3706.6,169.11,1764.57,437.13,30549.85,7637.46
PL-000116,2022-10,October 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,3711.07,1791.77,303.17,129.67,5935.68,445.05,3118.63,794.67,53545.56,7649.37
PL-000117,2022-10,October 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,2460.74,1137.09,159.26,95.52,3852.62,216.77,1691.89,597.55,29823.25,7455.81
PL-000118,2022-10,October 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,8837.18,3364.93,358.95,291.93,12852.99,544.84,6153.53,1424.12,106317.3,7594.09
PL-000119,2022-10,October 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,7036.79,2996.55,596.4,350.48,10980.22,967.19,5046.22,1022.57,88000.91,7333.41
PL-000120,2022-10,October 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,7737.9,2020.22,315.22,303.03,10376.38,674.17,4940.48,1195.26,85704.59,7142.05
PL-000121,2022-11,November 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,2566.86,725.73,181.2,109.13,3582.92,267.88,1703.08,649.78,29823.2,7455.8
PL-000122,2022-11,November 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1150.55,356.45,64.55,50.44,1622.0,88.82,852.66,209.5,14598.33,7299.16
PL-000123,2022-11,November 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,3110.32,1366.26,220.24,93.39,4790.22,134.76,2230.47,709.02,38798.26,7759.65
PL-000124,2022-11,November 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,3696.66,2261.49,287.67,190.3,6436.11,178.83,3433.61,1277.09,58945.47,7368.18
PL-000125,2022-11,November 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2240.69,871.01,195.64,98.56,3405.91,169.11,1764.57,539.32,30351.34,7587.84
PL-000126,2022-11,November 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,4360.58,1751.96,252.67,203.81,6569.01,445.05,3118.63,1288.12,54672.35,7810.34
PL-000127,2022-11,November 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,1802.01,846.52,145.11,67.74,2861.38,216.77,1691.89,505.06,28739.52,7184.88
PL-000128,2022-11,November 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,6353.45,3851.45,392.06,216.51,10813.46,544.84,6153.53,1489.73,104343.38,7453.1
PL-000129,2022-11,November 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,7318.32,2105.69,553.71,220.78,10198.51,967.19,5046.22,1991.45,88188.08,7349.01
PL-000130,2022-11,November 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,6473.9,2195.17,551.3,323.07,9543.44,674.17,4940.48,1717.59,85393.99,7116.17
PL-000131,2022-12,December 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,2312.41,669.48,176.6,61.9,3220.39,267.88,1703.08,614.67,29425.56,7356.39
PL-000132,2022-12,December 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,924.98,578.38,50.59,34.33,1588.27,88.82,852.66,309.65,14664.75,7332.37
PL-000133,2022-12,December 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,3181.15,1125.61,157.29,111.34,4575.39,134.76,2230.47,886.86,38761.27,7752.25
PL-000134,2022-12,December 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,5053.19,1650.43,287.62,148.7,7139.94,178.83,3433.61,982.21,59354.42,7419.3
PL-000135,2022-12,December 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2469.69,883.52,124.4,111.82,3589.44,169.11,1764.57,456.78,30452.34,7613.08
PL-000136,2022-12,December 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,4514.69,1920.18,318.57,195.12,6948.55,445.05,3118.63,1020.17,54783.94,7826.28
PL-000137,2022-12,December 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,1893.25,944.53,115.39,74.02,3027.19,216.77,1691.89,691.52,29091.8,7272.95
PL-000138,2022-12,December 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,7478.93,3437.83,666.55,228.42,11811.73,544.84,6153.53,1219.72,105071.64,7505.12
PL-000139,2022-12,December 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,6658.96,2248.42,461.21,196.13,9564.71,967.19,5046.22,2078.06,87640.89,7303.41
PL-000140,2022-12,December 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,5660.32,2725.99,343.19,348.23,9077.72,674.17,4940.48,2018.55,85229.23,7102.44
PL-000141,2023-01,January 2023,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,2484.81,1129.76,197.52,74.31,3886.4,267.88,1703.08,723.58,30200.48,7550.12
PL-000142,2023-01,January 2023,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,962.22,408.16,76.33,38.75,1485.47,88.82,852.66,263.17,14515.46,7257.73
PL-000143,2023-01,January 2023,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,3036.92,1552.02,126.69,78.2,4793.83,134.76,2230.47,486.9,38579.76,7715.95
PL-000144,2023-01,January 2023,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,4804.45,1463.11,370.39,165.99,6803.94,178.83,3433.61,1347.76,59383.97,7423.0
PL-000145,2023-01,January 2023,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2302.62,1175.65,108.7,91.78,3678.75,169.11,1764.57,738.52,30823.39,7705.85
