month,department,headcount,fte,contractors,month_change,month_change_pct
2023-06,Finance,17,16.35,0,1,6.25
2023-06,IT & Systems,14,13.46,0,0,0.0
2023-06,Legal & Compliance,17,16.58,0,0,0.0
2023-07,Executive Leadership,6,5.73,0,0,0.0
2023-07,Human Resources,11,10.65,0,0,0.0
2023-07,Sales & Marketing,35,33.35,0,0,0.0
2023-07,Product Development,57,55.8,0,0,0.0
2023-07,Manufacturing,43,42.07,0,0,0.0
2023-07,Quality Assurance,22,21.43,0,0,0.0
2023-07,Customer Service,24,23.79,0,0,0.0
2023-07,Finance,17,16.92,0,0,0.0
2023-07,IT & Systems,14,13.59,0,0,0.0
2023-07,Legal & Compliance,17,16.62,0,0,0.0
2023-08,Executive Leadership,6,5.73,0,0,0.0
2023-08,Human Resources,11,10.49,0,0,0.0
2023-08,Sales & Marketing,35,33.76,0,0,0.0
2023-08,Product Development,57,54.46,0,0,0.0
2023-08,Manufacturing,43,41.96,0,0,0.0
2023-08,Quality Assurance,22,21.48,0,0,0.0
2023-08,Customer Service,25,24.4,0,1,4.17
2023-08,Finance,19,18.96,0,2,11.76
2023-08,IT & Systems,14,13.82,0,0,0.0
2023-08,Legal & Compliance,17,16.49,0,0,0.0
2023-09,Executive Leadership,6,5.85,0,0,0.0
2023-09,Human Resources,11,10.9,0,0,0.0
2023-09,Sales & Marketing,35,34.76,0,0,0.0
2023-09,Product Development,56,54.65,0,-1,-1.75
2023-09,Manufacturing,43,41.4,0,0,0.0
2023-09,Quality Assurance,22,21.2,0,0,0.0
2023-09,Customer Service,25,24.86,0,0,0.0
2023-09,Finance,19,18.86,0,0,0.0
2023-09,IT & Systems,14,13.34,0,0,0.0
2023-09,Legal & Compliance,17,16.76,0,0,0.0
2023-10,Executive Leadership,6,5.85,0,0,0.0
2023-10,Human Resources,11,10.83,0,0,0.0
2023-10,Sales & Marketing,34,33.99,0,-1,-2.86
2023-10,Product Development,55,54.75,0,-1,-1.79
2023-10,Manufacturing,43,41.44,0,0,0.0
2023-10,Quality Assurance,21,20.17,0,-1,-4.55
2023-10,Customer Service,25,24.31,0,0,0.0
2023-10,Finance,20,19.67,0,1,5.26
2023-10,IT & Systems,14,13.89,0,0,0.0
2023-10,Legal & Compliance,17,16.97,0,0,0.0
2023-11,Executive Leadership,6,5.86,0,0,0.0
2023-11,Human Resources,11,10.97,0,0,0.0
2023-11,Sales & Marketing,36,35.25,0,2,5.88
2023-11,Product Development,55,52.64,0,0,0.0
2023-11,Manufacturing,42,40.58,0,-1,-2.33
2023-11,Quality Assurance,21,20.84,0,0,0.0
2023-11,Customer Service,25,24.44,0,0,0.0
2023-11,Finance,20,19.46,0,0,0.0
2023-11,IT & Systems,14,13.53,0,0,0.0
2023-11,Legal & Compliance,18,17.47,0,1,5.88
2023-12,Executive Leadership,5,4.76,0,-1,-16.67
2023-12,Human Resources,11,10.66,0,0,0.0
2023-12,Sales & Marketing,36,34.45,0,0,0.0
2023-12,Product Development,55,54.0,0,0,0.0
2023-12,Manufacturing,42,40.61,0,0,0.0
2023-12,Quality Assurance,21,20.84,0,0,0.0
2023-12,Customer Service,25,23.88,0,0,0.0
2023-12,Finance,20,19.36,0,0,0.0
2023-12,IT & Systems,14,13.42,0,0,0.0
2023-12,Legal & Compliance,18,17.75,0,0,0.0
2024-01,Executive Leadership,5,4.85,0,0,0.0
2024-01,Human Resources,11,10.89,0,0,0.0
2024-01,Sales & Marketing,36,35.33,0,0,0.0
2024-01,Product Development,55,52.87,0,0,0.0
2024-01,Manufacturing,42,40.94,0,0,0.0
2024-01,Quality Assurance,22,21.82,0,1,4.76
2024-01,Customer Service,26,25.26,0,1,4.0
2024-01,Finance,21,20.36,0,1,5.0
2024-01,IT & Systems,14,13.61,0,0,0.0
2024-01,Legal & Compliance,18,17.99,0,0,0.0
2024-01,Executive Leadership,5,4.76,0,0,0.0
2024-01,Human Resources,11,10.97,0,0,0.0
2024-01,Sales & Marketing,38,37.59,0,2,5.56
2024-01,Product Development,55,53.67,0,0,0.0
2024-01,Manufacturing,41,40.47,0,-1,-2.38
2024-01,Quality Assurance,22,21.72,0,0,0.0
2024-01,Customer Service,28,26.76,0,2,7.69
2024-01,Finance,21,20.73,0,0,0.0
2024-01,IT & Systems,14,13.5,0,0,0.0
2024-01,Legal & Compliance,18,17.99,0,0,0.0
2024-03,Executive Leadership,5,4.88,0,0,0.0
2024-03,Human Resources,11,10.97,0,0,0.0
2024-03,Sales & Marketing,38,37.04,0,0,0.0
2024-03,Product Development,57,54.15,0,2,3.64
2024-03,Manufacturing,41,39.88,0,0,0.0
2024-03,Quality Assurance,22,21.42,0,0,0.0
2024-03,Customer Service,30,28.78,0,2,7.14
2024-03,Finance,21,20.9,0,0,0.0
2024-03,IT & Systems,14,13.57,0,0,0.0
2024-03,Legal & Compliance,17,16.86,0,-1,-5.56
2024-03,Executive Leadership,5,4.77,0,0,0.0
2024-03,Human Resources,11,10.78,0,0,0.0
2024-03,Sales & Marketing,39,37.82,0,1,2.63
2024-03,Product Development,56,53.35,0,-1,-1.75
2024-03,Manufacturing,41,39.24,0,0,0.0
2024-03,Quality Assurance,23,22.41,0,1,4.55
2024-03,Customer Service,32,30.78,0,2,6.67
2024-03,Finance,21,20.66,0,0,0.0
2024-03,IT & Systems,14,13.81,0,0,0.0
2024-03,Legal & Compliance,17,16.87,0,0,0.0
2024-04,Executive Leadership,5,5.0,0,0,0.0
2024-04,Human Resources,10,9.81,0,-1,-9.09
2024-04,Sales & Marketing,39,38.41,0,0,0.0
2024-04,Product Development,56,53.27,0,0,0.0
2024-04,Manufacturing,41,39.3,0,0,0.0
2024-04,Quality Assurance,23,22.04,0,0,0.0
2024-04,Customer Service,32,30.85,0,0,0.0
2024-04,Finance,21,20.67,0,0,0.0
2024-04,IT & Systems,14,13.47,0,0,0.0
2024-04,Legal & Compliance,18,17.81,0,1,5.88
2024-05,Executive Leadership,5,4.75,0,0,0.0
2024-05,Human Resources,10,9.53,0,0,0.0
2024-05,Sales & Marketing,39,38.97,0,0,0.0
2024-05,Product Development,56,53.68,0,0,0.0
2024-05,Manufacturing,43,42.15,0,2,4.88
2024-05,Quality Assurance,23,22.85,0,0,0.0
2024-05,Customer Service,32,30.53,0,0,0.0
2024-05,Finance,21,20.98,0,0,0.0
2024-05,IT & Systems,13,12.53,0,-1,-7.14
2024-05,Legal & Compliance,18,17.77,0,0,0.0
2024-06,Executive Leadership,5,4.97,0,0,0.0
2024-06,Human Resources,10,9.89,0,0,0.0
2024-06,Sales & Marketing,39,37.43,0,0,0.0
2024-06,Product Development,55,52.78,0,-1,-1.79
2024-06,Manufacturing,42,40.41,0,-1,-2.33
2024-06,Quality Assurance,22,21.47,0,-1,-4.35
2024-06,Customer Service,32,31.18,0,0,0.0
2024-06,Finance,22,21.54,0,1,4.76
2024-06,IT & Systems,13,12.48,0,0,0.0
2024-06,Legal & Compliance,18,17.76,0,0,0.0
2024-07,Executive Leadership,4,3.82,0,-1,-20.0
2024-07,Human Resources,10,9.88,0,0,0.0
2024-07,Sales & Marketing,39,37.32,0,0,0.0
2024-07,Product Development,55,53.17,0,0,0.0
2024-07,Manufacturing,42,40.24,0,0,0.0
2024-07,Quality Assurance,23,22.33,0,1,4.55
2024-07,Customer Service,32,31.59,0,0,0.0
2024-07,Finance,22,21.71,0,0,0.0
2024-07,IT & Systems,13,12.79,0,0,0.0
2024-07,Legal & Compliance,18,17.63,0,0,0.0
2024-08,Executive Leadership,5,4.82,0,1,25.0
2024-08,Human Resources,12,11.6,0,2,20.0
2024-08,Sales & Marketing,40,38.82,0,1,2.56
2024-08,Product Development,55,54.44,0,0,0.0
2024-08,Manufacturing,44,42.99,0,2,4.76
2024-08,Quality Assurance,25,24.06,0,2,8.7
2024-08,Customer Service,33,32.57,0,1,3.12
2024-08,Finance,23,22.62,0,1,4.55
2024-08,IT & Systems,12,11.72,0,-1,-7.69
2024-08,Legal & Compliance,18,17.7,0,0,0.0
2024-09,Executive Leadership,7,6.74,0,2,40.0
2024-09,Human Resources,12,11.65,0,0,0.0
2024-09,Sales & Marketing,40,39.51,0,0,0.0
2024-09,Product Development,55,54.99,0,0,0.0
2024-09,Manufacturing,43,41.11,0,-1,-2.27
2024-09,Quality Assurance,26,24.99,0,1,4.0
2024-09,Customer Service,35,34.0,0,2,6.06
2024-09,Finance,23,22.46,0,0,0.0
2024-09,IT & Systems,12,11.51,0,0,0.0
2024-09,Legal & Compliance,18,17.11,0,0,0.0
2024-10,Executive Leadership,7,6.93,0,0,0.0
2024-10,Human Resources,11,10.45,0,-1,-8.33
2024-10,Sales & Marketing,40,39.06,0,0,0.0
2024-10,Product Development,56,54.78,0,1,1.82
2024-10,Manufacturing,43,42.31,0,0,0.0
2024-10,Quality Assurance,26,25.19,0,0,0.0
2024-10,Customer Service,35,33.62,0,0,0.0
2024-10,Finance,23,21.91,0,0,0.0
2024-10,IT & Systems,12,11.76,0,0,0.0
2024-10,Legal & Compliance,18,17.54,0,0,0.0
2024-11,Executive Leadership,7,6.92,0,0,0.0
2024-11,Human Resources,11,10.8,0,0,0.0
2024-11,Sales & Marketing,40,38.23,0,0,0.0
2024-11,Product Development,56,53.22,0,0,0.0
2024-11,Manufacturing,42,41.89,0,-1,-2.33
2024-11,Quality Assurance,27,25.88,0,1,3.85
2024-11,Customer Service,35,34.96,0,0,0.0
2024-11,Finance,24,23.62,0,1,4.35
2024-11,IT & Systems,12,11.7,0,0,0.0
2024-11,Legal & Compliance,18,17.81,0,0,0.0
2024-12,Executive Leadership,7,6.93,0,0,0.0
2024-12,Human Resources,13,12.76,0,2,18.18
2024-12,Sales & Marketing,40,39.51,0,0,0.0
2024-12,Product Development,57,54.38,0,1,1.79
2024-12,Manufacturing,42,40.8,0,0,0.0
2024-12,Quality Assurance,26,25.84,0,-1,-3.7
2024-12,Customer Service,35,34.74,0,0,0.0
2024-12,Finance,24,23.84,0,0,0.0
2024-12,IT & Systems,12,11.49,0,0,0.0
2024-12,Legal & Compliance,18,17.62,0,0,0.0
2025-01,Executive Leadership,7,6.88,0,0,0.0
2025-01,Human Resources,13,12.9,0,0,0.0
2025-01,Sales & Marketing,39,38.53,0,-1,-2.5
2025-01,Product Development,57,55.17,0,0,0.0
2025-01,Manufacturing,41,39.13,0,-1,-2.38
2025-01,Quality Assurance,25,24.51,0,-1,-3.85
2025-01,Customer Service,35,34.06,0,0,0.0
2025-01,Finance,24,23.81,0,0,0.0
2025-01,IT & Systems,12,11.88,0,0,0.0
2025-01,Legal & Compliance,19,18.68,0,1,5.56
2025-02,Executive Leadership,7,6.78,0,0,0.0
2025-02,Human Resources,12,11.7,0,-1,-7.69
2025-02,Sales & Marketing,39,38.72,0,0,0.0
2025-02,Product Development,57,55.83,0,0,0.0
2025-02,Manufacturing,42,40.07,0,1,2.44
2025-02,Quality Assurance,25,23.94,0,0,0.0
2025-02,Customer Service,34,32.45,0,-1,-2.86
2025-02,Finance,24,23.38,0,0,0.0
2025-02,IT & Systems,12,11.88,0,0,0.0
2025-02,Legal & Compliance,19,18.33,0,0,0.0
2025-03,Executive Leadership,8,8.0,0,1,14.29
2025-03,Human Resources,12,11.8,0,0,0.0
2025-03,Sales & Marketing,39,37.91,0,0,0.0
2025-03,Product Development,57,54.74,0,0,0.0
2025-03,Manufacturing,42,40.58,0,0,0.0
2025-03,Quality Assurance,24,23.93,0,-1,-4.0
2025-03,Customer Service,33,32.17,0,-1,-2.94
2025-03,Finance,24,23.99,0,0,0.0
2025-03,IT & Systems,12,11.48,0,0,0.0
2025-03,Legal & Compliance,19,18.48,0,0,0.0
2025-04,Executive Leadership,8,7.97,0,0,0.0
2025-04,Human Resources,11,10.71,0,-1,-8.33
2025-04,Sales & Marketing,39,38.5,0,0,0.0
2025-04,Product Development,57,56.39,0,0,0.0
2025-04,Manufacturing,44,43.85,0,2,4.76
2025-04,Quality Assurance,24,23.45,0,0,0.0
2025-04,Customer Service,33,32.85,0,0,0.0
2025-04,Finance,24,23.1,0,0,0.0
2025-04,IT & Systems,13,12.47,0,1,8.33
2025-04,Legal & Compliance,19,18.75,0,0,0.0
2025-05,Executive Leadership,8,7.89,0,0,0.0
2025-05,Human Resources,11,10.85,0,0,0.0
2025-05,Sales & Marketing,39,37.49,0,0,0.0
2025-05,Product Development,57,56.99,0,0,0.0
2025-05,Manufacturing,44,43.33,0,0,0.0
2025-05,Quality Assurance,24,23.29,0,0,0.0
2025-05,Customer Service,33,32.08,0,0,0.0
2025-05,Finance,24,23.24,0,0,0.0
2025-05,IT & Systems,13,12.47,0,0,0.0
2025-05,Legal & Compliance,19,18.28,0,0,0.0
2025-06,Executive Leadership,8,7.93,0,0,0.0
2025-06,Human Resources,12,11.54,0,1,9.09
2025-06,Sales & Marketing,39,37.06,0,0,0.0
2025-06,Product Development,58,55.86,0,1,1.75
2025-06,Manufacturing,45,43.53,0,1,2.27
2025-06,Quality Assurance,24,22.83,0,0,0.0
2025-06,Customer Service,33,32.51,0,0,0.0
2025-06,Finance,24,23.19,0,0,0.0
2025-06,IT & Systems,13,12.94,0,0,0.0
2025-06,Legal & Compliance,19,18.38,0,0,0.0
2025-07,Executive Leadership,7,6.88,0,-1,-12.5
2025-07,Human Resources,13,12.64,0,1,8.33
2025-07,Sales & Marketing,39,38.92,0,0,0.0
2025-07,Product Development,58,57.67,0,0,0.0
2025-07,Manufacturing,46,44.27,0,1,2.22
2025-07,Quality Assurance,24,22.95,0,0,0.0
2025-07,Customer Service,33,31.94,0,0,0.0
2025-07,Finance,24,22.95,0,0,0.0
2025-07,IT & Systems,13,12.69,0,0,0.0
2025-07,Legal & Compliance,18,17.67,0,-1,-5.26
2025-08,Executive Leadership,9,8.78,0,2,28.57
2025-08,Human Resources,14,13.78,0,1,7.69
2025-08,Sales & Marketing,38,37.03,0,-1,-2.56
2025-08,Product Development,57,55.56,0,-1,-1.72
2025-08,Manufacturing,46,45.75,0,0,0.0
2025-08,Quality Assurance,24,23.74,0,0,0.0
2025-08,Customer Service,33,32.49,0,0,0.0
2025-08,Finance,24,23.7,0,0,0.0
2025-08,IT & Systems,13,12.84,0,0,0.0
2025-08,Legal & Compliance,18,17.24,0,0,0.0
2025-09,Executive Leadership,11,10.81,0,2,22.22
2025-09,Human Resources,14,13.85,0,0,0.0
2025-09,Sales & Marketing,38,36.99,0,0,0.0
2025-09,Product Development,57,54.26,0,0,0.0
2025-09,Manufacturing,46,44.23,0,0,0.0
2025-09,Quality Assurance,24,22.84,0,0,0.0
2025-09,Customer Service,33,33.0,0,0,0.0
2025-09,Finance,24,23.5,0,0,0.0
2025-09,IT & Systems,13,12.87,0,0,0.0
2025-09,Legal & Compliance,18,17.84,0,0,0.0
