order_item_id,order_id,product_sku,product_name,quantity,unit_price,line_total,discount_applied
ITEM100177,ORD100043,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100178,ORD100044,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100179,ORD100044,RBX-SOF-1018,Fleet Management Platform,3,1872,5616,0
ITEM100180,ORD100044,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100181,ORD100045,RBX-COM-1013,High-Precision Gripper,2,2687,5374,0
ITEM100182,ORD100045,RBX-COM-1014,Vision System Pro,2,2111,4222,0
ITEM100183,ORD100046,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100184,ORD100046,RBX-SOF-1019,Simulation & Programming Tool,5,1719,8595,0
ITEM100185,ORD100047,RBX-COM-1013,High-Precision Gripper,1,2687,2687,0
ITEM100186,ORD100047,RBX-COM-1015,End-Effector Kit,1,3144,3144,0
ITEM100187,ORD100047,RBX-SOF-1020,Predictive Maintenance AI,2,734,1468,0
ITEM100188,ORD100047,RBX-SOF-1019,Simulation & Programming Tool,1,1719,1719,0
ITEM100189,ORD100047,RBX-COM-1016,Safety Scanner System,4,2494,9976,0
ITEM100190,ORD100047,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100191,ORD100047,RBX-SOF-1017,RobotOS Control Suite,3,1851,5553,0
ITEM100192,ORD100048,RBX-SOF-1020,Predictive Maintenance AI,1,734,734,0
ITEM100193,ORD100048,RBX-SOF-1017,RobotOS Control Suite,1,1851,1851,0
ITEM100194,ORD100049,RBX-SOF-1019,Simulation & Programming Tool,4,1719,6876,0
ITEM100195,ORD100049,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100196,ORD100049,RBX-COM-1014,Vision System Pro,5,2111,10555,0
ITEM100197,ORD100049,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100198,ORD100049,RBX-COM-1013,High-Precision Gripper,4,2687,10748,0
ITEM100199,ORD100049,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100200,ORD100049,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100201,ORD100049,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100202,ORD100050,RBX-COM-1015,End-Effector Kit,2,3144,6288,0
ITEM100203,ORD100050,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100204,ORD100050,RBX-SOF-1019,Simulation & Programming Tool,4,1719,6876,0
ITEM100205,ORD100050,RBX-COM-1016,Safety Scanner System,1,2494,2494,0
ITEM100206,ORD100050,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100207,ORD100050,RBX-SOF-1018,Fleet Management Platform,3,1872,5616,0
ITEM100208,ORD100051,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100209,ORD100051,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100210,ORD100051,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100211,ORD100051,RBX-SOF-1017,RobotOS Control Suite,5,1851,9255,0
ITEM100212,ORD100051,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100213,ORD100051,RBX-IND-1001,HeavyDuty Articulated Robot,1,48154,48154,0
ITEM100214,ORD100051,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100215,ORD100051,RBX-COM-1016,Safety Scanner System,3,2494,7482,0
ITEM100216,ORD100052,RBX-COM-1015,End-Effector Kit,4,3144,12576,0
ITEM100217,ORD100052,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100218,ORD100053,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100219,ORD100053,RBX-COM-1012,6-Axis Force Sensor,5,4577,22885,0
ITEM100220,ORD100053,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100221,ORD100053,RBX-SOF-1017,RobotOS Control Suite,3,1851,5553,0
ITEM100222,ORD100053,RBX-COM-1015,End-Effector Kit,3,3144,9432,0
ITEM100223,ORD100053,RBX-SOF-1018,Fleet Management Platform,3,1872,5616,0
ITEM100224,ORD100053,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100225,ORD100054,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100226,ORD100054,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100227,ORD100054,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100228,ORD100054,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100229,ORD100054,RBX-SOF-1019,Simulation & Programming Tool,3,1719,5157,0
ITEM100230,ORD100054,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100231,ORD100054,RBX-COM-1013,High-Precision Gripper,3,2687,8061,0
ITEM100232,ORD100055,RBX-COM-1013,High-Precision Gripper,2,2687,5374,0
ITEM100233,ORD100055,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100234,ORD100055,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100235,ORD100056,RBX-SOF-1017,RobotOS Control Suite,4,1851,7404,0
ITEM100236,ORD100056,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100237,ORD100056,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100238,ORD100056,RBX-SOF-1020,Predictive Maintenance AI,1,734,734,0
ITEM100239,ORD100056,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100240,ORD100057,RBX-COM-1012,6-Axis Force Sensor,3,4577,13731,0
ITEM100241,ORD100057,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100242,ORD100058,RBX-SOF-1019,Simulation & Programming Tool,4,1719,6876,0
ITEM100243,ORD100058,RBX-SOF-1020,Predictive Maintenance AI,5,734,3670,0
ITEM100244,ORD100058,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100245,ORD100059,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100246,ORD100059,RBX-COM-1015,End-Effector Kit,3,3144,9432,0
ITEM100247,ORD100059,RBX-SOF-1019,Simulation & Programming Tool,1,1719,1719,0
ITEM100248,ORD100059,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100249,ORD100059,RBX-SOF-1017,RobotOS Control Suite,5,1851,9255,0
ITEM100250,ORD100059,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100251,ORD100060,RBX-SOF-1017,RobotOS Control Suite,5,1851,9255,0
ITEM100252,ORD100060,RBX-SOF-1018,Fleet Management Platform,2,1872,3744,0
ITEM100253,ORD100060,RBX-IND-1001,HeavyDuty Articulated Robot,1,48154,48154,0
ITEM100254,ORD100061,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100255,ORD100061,RBX-SOF-1020,Predictive Maintenance AI,1,734,734,0
ITEM100256,ORD100062,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100257,ORD100062,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100258,ORD100063,RBX-SOF-1020,Predictive Maintenance AI,3,734,2202,0
ITEM100259,ORD100063,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100260,ORD100063,RBX-SOF-1019,Simulation & Programming Tool,3,1719,5157,0
ITEM100261,ORD100064,RBX-COM-1013,High-Precision Gripper,2,2687,5374,0
ITEM100262,ORD100064,RBX-SOF-1017,RobotOS Control Suite,4,1851,7404,0
ITEM100263,ORD100065,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100264,ORD100065,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100265,ORD100065,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100266,ORD100065,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100267,ORD100065,RBX-SOF-1018,Fleet Management Platform,1,1872,1872,0
ITEM100268,ORD100065,RBX-SOF-1017,RobotOS Control Suite,4,1851,7404,0
ITEM100269,ORD100065,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100270,ORD100066,RBX-SOF-1020,Predictive Maintenance AI,2,734,1468,0
ITEM100271,ORD100067,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100272,ORD100067,RBX-COM-1012,6-Axis Force Sensor,2,4577,9154,0
ITEM100273,ORD100067,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100274,ORD100067,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100275,ORD100068,RBX-IND-1001,HeavyDuty Articulated Robot,1,48154,48154,0
ITEM100276,ORD100068,RBX-SOF-1020,Predictive Maintenance AI,4,734,2936,0
ITEM100277,ORD100068,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100278,ORD100068,RBX-COM-1012,6-Axis Force Sensor,1,4577,4577,0
ITEM100279,ORD100068,RBX-SOF-1017,RobotOS Control Suite,1,1851,1851,0
ITEM100280,ORD100068,RBX-COM-1016,Safety Scanner System,1,2494,2494,0
ITEM100281,ORD100068,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100282,ORD100068,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100283,ORD100069,RBX-SOF-1017,RobotOS Control Suite,1,1851,1851,0
ITEM100284,ORD100069,RBX-SOF-1019,Simulation & Programming Tool,3,1719,5157,0
ITEM100285,ORD100069,RBX-SOF-1018,Fleet Management Platform,1,1872,1872,0
ITEM100286,ORD100069,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100287,ORD100069,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100288,ORD100069,RBX-COM-1013,High-Precision Gripper,4,2687,10748,0
ITEM100289,ORD100069,RBX-COM-1012,6-Axis Force Sensor,3,4577,13731,0
ITEM100290,ORD100070,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100291,ORD100070,RBX-SOF-1020,Predictive Maintenance AI,2,734,1468,0
ITEM100292,ORD100071,RBX-SOF-1020,Predictive Maintenance AI,5,734,3670,0
ITEM100293,ORD100071,RBX-COM-1012,6-Axis Force Sensor,5,4577,22885,0
ITEM100294,ORD100071,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100295,ORD100071,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100296,ORD100071,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100297,ORD100071,RBX-SOF-1019,Simulation & Programming Tool,2,1719,3438,0
ITEM100298,ORD100071,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100299,ORD100072,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100300,ORD100072,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100301,ORD100072,RBX-COM-1015,End-Effector Kit,3,3144,9432,0
ITEM100302,ORD100072,RBX-SOF-1019,Simulation & Programming Tool,2,1719,3438,0
ITEM100303,ORD100072,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100304,ORD100072,RBX-SOF-1017,RobotOS Control Suite,1,1851,1851,0
ITEM100305,ORD100072,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100306,ORD100072,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100307,ORD100073,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100308,ORD100073,RBX-COM-1014,Vision System Pro,5,2111,10555,0
ITEM100309,ORD100073,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100310,ORD100073,RBX-SOF-1019,Simulation & Programming Tool,1,1719,1719,0
ITEM100311,ORD100073,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
