case_id,case_type,filed_date,closed_date,status,plaintiff,description,external_counsel,legal_costs_to_date,settlement_amount,potential_exposure,insurance_coverage,priority,internal_contact
LIT-0013,Product Liability,2025-01-05,,Active,Robotix,Robotix Inc. faces a class action lawsuit following multiple incidents involving their RX-3000 industrial robotic arms malfunctioning at manufacturing facilities across North America. Plaintiffs allege that a software defect in the robot's collision ,Perkins Coie,257612.68,,497944.95,Partial,Low,Jennifer Park
LIT-0014,Vendor Dispute,2024-06-25,,Active,Robotix,Vendor Dispute matter filed on 2024-06-25,K&L Gates,761200.68,,813017.95,Partial,High,Jennifer Park
LIT-0015,Patent Infringement,2023-11-14,,Active,Third Party,"Robotix Inc. v. Advanced Automation Systems LLC
Case No. 2:23-cv-89741

Robotix alleges that Advanced Automation Systems (AAS) infringed on its U.S. Patent No. 9,847,256 covering proprietary robotic arm joint technology used in medical surgery assist",Morrison & Foerster LLP,527994.75,,1680721.79,Yes,High,Michael Rodriguez
LIT-0016,Intellectual Property,2023-12-15,,Active,Third Party,Intellectual Property matter filed on 2023-12-15,Davis Wright Tremaine,375392.94,,1785270.34,Partial,High,Sarah Chen
LIT-0017,Contract Dispute,2025-06-21,,Active,Third Party,"Robotix Inc. v. MediCare Solutions LLC
Case No. 2025-CV-4872

MediCare Solutions contracted Robotix to develop and deliver 50 surgical assistance robots for their hospital network by March 2025. After delivering 30 units, Robotix encountered critical",Davis Wright Tremaine,112381.04,,1644742.13,Partial,High,Sarah Chen
LIT-0018,Product Liability,2025-05-26,,Active,Robotix,Product Liability matter filed on 2025-05-26,Morrison & Foerster LLP,83199.25,,1604872.27,Yes,High,Sarah Chen
LIT-0019,Customer Complaint,2023-12-20,2024-08-08,Settled,Third Party,"Johnson Manufacturing v. Robotix Technologies, Inc.
Filed December 20, 2023

Case Description:
Plaintiff Johnson Manufacturing filed suit against Robotix Technologies regarding the failure of three AR-750 robotic assembly units purchased for $2.1M. T",Perkins Coie,380810.63,158812.34,,Partial,High,Michael Rodriguez
LIT-0020,Intellectual Property,2024-10-26,2025-03-27,Dismissed,Robotix,Intellectual Property matter filed on 2024-10-26,Wilson Sonsini,191050.85,,,Yes,High,Amanda Foster
LIT-0021,Regulatory Compliance,2024-03-12,,Active,Robotix,Regulatory Compliance matter filed on 2024-03-12,Davis Wright Tremaine,326003.14,,211231.11,Yes,Low,Sarah Chen
LIT-0022,Vendor Dispute,2025-02-23,2025-05-26,Closed,Robotix,Vendor Dispute matter filed on 2025-02-23,K&L Gates,91900.47,,,Yes,High,Amanda Foster
LIT-0023,Customer Complaint,2023-09-07,,Active,Third Party,"CASE DESCRIPTION:
Customer Meridian Healthcare filed a complaint against Robotix regarding alleged malfunctions of three SR-750 surgical assistance robots purchased in March 2023 for $2.1M. During two separate procedures in August 2023, the robots re",Wilson Sonsini,275653.15,,1454448.32,Yes,High,Jennifer Park
LIT-0024,Contract Dispute,2025-08-14,2026-08-15,Closed,Robotix,Contract Dispute matter filed on 2025-08-14,Morrison & Foerster LLP,439908.44,,,No,Low,Sarah Chen
LIT-0025,Product Liability,2024-09-10,2024-12-21,Settled,Robotix,"Thompson v. Robotix Technologies, Inc.
Case No. 24-CV-7391

Plaintiff Sarah Thompson filed suit against Robotix Technologies following injuries sustained when a Robotix SR-200 industrial robotic arm malfunctioned at ABC Manufacturing's facility in De",Morrison & Foerster LLP,131386.17,386914.06,,Partial,Medium,Sarah Chen
