quote_id,opportunity_id,customer_name,quote_date,valid_until,subtotal,discount_pct,discount_amount,tax,total,status,payment_terms,delivery_time_weeks,owner,revision_number,follow_up_date
QUO-000047,OPP-000097,Company 2691,2025-08-30,2025-10-29,27849.3,5,1392.47,2116.55,28573.38,Accepted,Net 30,16,Jessica Martinez,1,
QUO-000048,OPP-000065,Company 5664,2025-10-13,2026-01-11,131514.47,20,26302.89,8416.93,113628.5,Accepted,Net 30,4,David Martinez,1,
QUO-000049,OPP-000019,Company 3710,2024-11-21,2025-01-20,195550.0,5,9777.5,14861.8,200634.3,Sent,Net 45,12,Jessica Martinez,1,2024-11-28
QUO-000050,OPP-000171,Company 9235,2024-12-21,2025-01-20,196995.55,20,39399.11,12607.72,170204.15,Accepted,Net 45,8,David Martinez,2,
QUO-000051,OPP-000057,Company 7990,2025-04-25,2025-07-24,316982.93,15,47547.44,21554.84,290990.33,Draft,50% Upfront,8,Chris Patel,2,
QUO-000052,OPP-000067,Company 8837,2024-11-15,2024-12-15,234665.73,20,46933.15,15018.61,202751.19,Expired,Net 45,16,David Martinez,1,
QUO-000053,OPP-000039,Company 9751,2024-11-12,2024-12-27,480174.18,5,24008.71,36493.24,492658.71,Rejected,Net 60,8,Chris Patel,2,
QUO-000054,OPP-000112,Company 8664,2024-10-24,2024-12-08,73473.98,10,7347.4,5290.13,71416.71,Accepted,Net 45,8,David Martinez,3,
QUO-000055,OPP-000099,Company 1988,2025-01-05,2025-03-06,410685.97,0,0.0,32854.88,443540.85,Sent,Net 30,6,Chris Patel,2,2025-01-12
QUO-000056,OPP-000186,Company 2647,2024-11-24,2025-01-08,96721.07,15,14508.16,6577.03,88789.94,Sent,Net 60,6,David Martinez,2,2024-12-01
QUO-000057,OPP-000170,Company 3896,2025-04-30,2025-07-29,467358.02,0,0.0,37388.64,504746.66,Accepted,Net 45,16,David Martinez,1,
QUO-000058,OPP-000088,Company 9350,2024-12-03,2025-01-02,352346.06,20,70469.21,22550.15,304427.0,Accepted,Net 45,6,Jessica Martinez,3,
QUO-000059,OPP-000097,Company 8961,2025-05-23,2025-07-22,437955.86,0,0.0,35036.47,472992.33,Rejected,Net 60,4,David Martinez,2,
QUO-000060,OPP-000171,Company 2487,2025-09-09,2025-10-09,454712.42,5,22735.62,34558.14,466534.94,Viewed,Net 60,12,Chris Patel,1,
QUO-000061,OPP-000199,Company 3319,2025-08-06,2025-11-04,28599.88,15,4289.98,1944.79,26254.69,Accepted,Net 60,6,David Martinez,1,
QUO-000062,OPP-000101,Company 7938,2025-04-11,2025-07-10,355997.04,15,53399.56,24207.8,326805.28,Rejected,50% Upfront,4,Chris Patel,1,
QUO-000063,OPP-000074,Company 1027,2025-05-20,2025-07-19,68307.54,20,13661.51,4371.68,59017.71,Sent,50% Upfront,12,Chris Patel,1,2025-05-27
QUO-000064,OPP-000166,Company 3673,2025-06-04,2025-08-03,438588.07,10,43858.81,31578.34,426307.61,Viewed,Net 30,16,Jessica Martinez,2,
QUO-000065,OPP-000031,Company 1707,2025-07-20,2025-09-18,456709.37,0,0.0,36536.75,493246.12,Viewed,50% Upfront,12,David Martinez,1,
QUO-000066,OPP-000069,Company 4232,2025-07-11,2025-08-25,239230.69,20,47846.14,15310.76,206695.31,Accepted,Net 60,16,Jessica Martinez,2,
QUO-000067,OPP-000110,Company 2048,2025-07-20,2025-09-18,326990.27,15,49048.54,22235.34,300177.06,Sent,Net 45,16,David Martinez,1,2025-07-27
QUO-000068,OPP-000067,Company 9926,2024-11-09,2025-02-07,349221.84,20,69844.37,22350.2,301727.67,Rejected,Net 45,6,Chris Patel,2,
QUO-000069,OPP-000137,Company 5223,2025-03-25,2025-05-09,193656.66,20,38731.33,12394.03,167319.35,Accepted,Net 60,12,Chris Patel,1,
QUO-000070,OPP-000142,Company 8985,2025-03-30,2025-06-28,107917.98,15,16187.7,7338.42,99068.7,Rejected,Net 45,8,David Martinez,2,
QUO-000071,OPP-000193,Company 9824,2024-11-13,2024-12-13,481094.0,15,72164.1,32714.39,441644.29,Viewed,Net 45,8,Jessica Martinez,2,
QUO-000072,OPP-000093,Company 2719,2025-10-19,2026-01-17,108937.39,5,5446.87,8279.24,111769.77,Sent,Net 45,4,David Martinez,2,2025-10-26
QUO-000073,OPP-000055,Company 4153,2025-10-01,2025-11-15,125871.71,20,25174.34,8055.79,108753.16,Sent,50% Upfront,8,Jessica Martinez,2,2025-10-08
QUO-000074,OPP-000070,Company 4166,2025-07-19,2025-08-18,194795.84,10,19479.58,14025.3,189341.56,Accepted,Net 30,8,Chris Patel,3,
QUO-000075,OPP-000141,Company 7336,2025-09-24,2025-12-23,430676.61,5,21533.83,32731.42,441874.2,Sent,Net 45,4,Jessica Martinez,1,2025-10-01
QUO-000076,OPP-000048,Company 3711,2024-10-28,2024-11-27,26526.01,5,1326.3,2015.98,27215.69,Viewed,Net 45,4,Jessica Martinez,1,
QUO-000077,OPP-000132,Company 8754,2025-01-02,2025-03-03,38065.77,5,1903.29,2893.0,39055.48,Sent,Net 45,12,Chris Patel,3,2025-01-09
QUO-000078,OPP-000175,Company 8879,2025-07-30,2025-09-28,466821.57,0,0.0,37345.73,504167.3,Accepted,Net 60,16,Jessica Martinez,2,
QUO-000079,OPP-000167,Company 9941,2025-02-03,2025-03-20,91833.59,0,0.0,7346.69,99180.28,Rejected,50% Upfront,8,Jessica Martinez,1,
QUO-000080,OPP-000004,Company 6141,2024-12-19,2025-03-19,181023.24,0,0.0,14481.86,195505.1,Accepted,50% Upfront,16,David Martinez,3,
QUO-000081,OPP-000067,Company 8139,2025-05-04,2025-07-03,470926.95,10,47092.69,33906.74,457740.99,Sent,50% Upfront,16,Chris Patel,3,2025-05-11
QUO-000082,OPP-000087,Company 4528,2025-03-16,2025-04-15,276585.89,10,27658.59,19914.18,268841.49,Draft,Net 30,16,Chris Patel,2,
QUO-000083,OPP-000107,Company 8811,2025-04-03,2025-05-18,380041.22,15,57006.18,25842.8,348877.84,Viewed,Net 30,4,Chris Patel,3,
QUO-000084,OPP-000158,Company 6913,2025-08-02,2025-10-01,397298.31,10,39729.83,28605.48,386173.96,Draft,Net 30,8,David Martinez,3,
QUO-000085,OPP-000112,Company 4127,2024-11-22,2025-02-20,203366.05,20,40673.21,13015.43,175708.27,Rejected,Net 45,4,Chris Patel,1,
QUO-000086,OPP-000186,Company 4285,2025-08-08,2025-09-22,21814.32,5,1090.72,1657.89,22381.49,Accepted,50% Upfront,12,Jessica Martinez,2,
QUO-000087,OPP-000141,Company 5150,2025-10-17,2025-12-01,235983.35,5,11799.17,17934.73,242118.92,Viewed,Net 30,6,David Martinez,1,
QUO-000088,OPP-000001,Company 7749,2025-07-14,2025-08-28,277616.96,10,27761.7,19988.42,269843.69,Expired,50% Upfront,16,Chris Patel,1,
QUO-000089,OPP-000136,Company 4141,2025-02-10,2025-05-11,182323.72,5,9116.19,13856.6,187064.14,Sent,Net 60,4,David Martinez,2,2025-02-17
QUO-000090,OPP-000008,Company 8940,2025-06-20,2025-09-18,183137.27,5,9156.86,13918.43,187898.84,Sent,Net 45,12,David Martinez,1,2025-06-27
QUO-000091,OPP-000197,Company 2913,2025-08-16,2025-09-15,91978.93,15,13796.84,6254.57,84436.66,Sent,Net 30,6,Chris Patel,3,2025-08-23
QUO-000092,OPP-000172,Company 3083,2025-10-18,2025-12-17,338839.0,5,16941.95,25751.76,347648.81,Accepted,Net 60,12,Jessica Martinez,1,
QUO-000093,OPP-000039,Company 3300,2025-09-16,2025-12-15,358741.06,5,17937.05,27264.32,368068.33,Rejected,Net 30,4,Jessica Martinez,3,
QUO-000094,OPP-000181,Company 9032,2025-02-26,2025-04-27,60296.27,15,9044.44,4100.15,55351.98,Sent,Net 45,8,Chris Patel,2,2025-03-05
QUO-000095,OPP-000200,Company 8478,2025-09-06,2025-10-21,464728.18,5,23236.41,35319.34,476811.11,Viewed,50% Upfront,4,Chris Patel,3,
QUO-000096,OPP-000040,Company 1200,2025-03-22,2025-06-20,347786.05,20,69557.21,22258.31,300487.14,Expired,50% Upfront,12,Jessica Martinez,1,
QUO-000097,OPP-000145,Company 8492,2025-09-07,2025-10-22,343378.6,15,51506.79,23349.75,315221.56,Sent,50% Upfront,4,Chris Patel,3,2025-09-14
QUO-000098,OPP-000192,Company 1490,2025-03-29,2025-06-27,424831.03,15,63724.65,28888.51,389994.88,Draft,Net 45,16,David Martinez,3,
QUO-000099,OPP-000129,Company 6368,2025-04-13,2025-05-28,196437.21,10,19643.72,14143.48,190936.97,Rejected,Net 60,16,Jessica Martinez,2,
QUO-000100,OPP-000109,Company 8471,2024-11-11,2024-12-26,485833.17,10,48583.32,34979.99,472229.85,Draft,Net 30,12,Chris Patel,1,
QUO-000101,OPP-000051,Company 3373,2024-11-15,2025-02-13,368559.9,20,73711.98,23587.83,318435.76,Accepted,Net 60,8,Jessica Martinez,3,
QUO-000102,OPP-000076,Company 2750,2024-12-11,2025-01-25,56267.91,10,5626.79,4051.29,54692.41,Viewed,50% Upfront,8,David Martinez,3,
QUO-000103,OPP-000153,Company 6989,2025-06-20,2025-07-20,43245.2,15,6486.78,2940.67,39699.09,Sent,Net 60,16,David Martinez,3,2025-06-27
QUO-000104,OPP-000170,Company 6561,2024-12-21,2025-02-19,277511.78,0,0.0,22200.94,299712.73,Rejected,50% Upfront,6,Chris Patel,1,
QUO-000105,OPP-000006,Company 7478,2025-04-20,2025-07-19,245518.83,5,12275.94,18659.43,251902.32,Expired,50% Upfront,8,David Martinez,1,
QUO-000106,OPP-000052,Company 6343,2025-06-09,2025-07-09,192592.14,5,9629.61,14637.0,197599.54,Sent,Net 45,8,Chris Patel,1,2025-06-16
QUO-000107,OPP-000094,Company 2635,2025-03-23,2025-04-22,171220.22,0,0.0,13697.62,184917.84,Expired,50% Upfront,6,David Martinez,3,
QUO-000108,OPP-000116,Company 2682,2025-01-08,2025-04-08,122172.38,0,0.0,9773.79,131946.17,Expired,Net 60,12,Jessica Martinez,3,
QUO-000109,OPP-000164,Company 1884,2025-09-12,2025-10-27,494144.47,20,98828.89,31625.25,426940.82,Accepted,Net 60,8,Jessica Martinez,2,
QUO-000110,OPP-000070,Company 7624,2025-07-27,2025-09-10,378294.72,5,18914.74,28750.4,388130.39,Accepted,Net 60,12,David Martinez,3,
QUO-000111,OPP-000171,Company 2713,2025-07-08,2025-08-22,317117.25,10,31711.72,22832.44,308237.96,Sent,50% Upfront,16,Chris Patel,3,2025-07-15
QUO-000112,OPP-000076,Company 3519,2025-10-01,2025-11-15,427354.5,20,85470.9,27350.69,369234.29,Accepted,Net 45,12,Chris Patel,2,
QUO-000113,OPP-000173,Company 9100,2025-01-06,2025-02-05,430214.77,0,0.0,34417.18,464631.95,Accepted,Net 30,12,Jessica Martinez,2,
QUO-000114,OPP-000135,Company 2004,2025-03-18,2025-05-02,111817.72,0,0.0,8945.42,120763.13,Accepted,Net 30,6,David Martinez,1,
QUO-000115,OPP-000070,Company 5367,2025-02-27,2025-04-28,228149.53,15,34222.43,15514.17,209441.27,Viewed,Net 30,8,Chris Patel,3,
QUO-000116,OPP-000079,Company 1070,2025-10-21,2025-12-05,212915.52,20,42583.1,13626.59,183959.01,Viewed,Net 60,16,David Martinez,3,
QUO-000117,OPP-000023,Company 3465,2025-04-22,2025-07-21,276417.41,15,41462.61,18796.38,253751.18,Sent,Net 45,16,David Martinez,1,2025-04-29
QUO-000118,OPP-000098,Company 3478,2024-12-13,2025-02-11,55563.26,15,8334.49,3778.3,51007.07,Rejected,Net 30,12,David Martinez,2,
QUO-000119,OPP-000190,Company 9831,2025-07-16,2025-08-30,380857.51,5,19042.88,28945.17,390759.81,Draft,50% Upfront,4,David Martinez,1,
QUO-000120,OPP-000048,Company 5667,2025-02-28,2025-03-30,464757.42,15,69713.61,31603.5,426647.31,Accepted,Net 30,4,David Martinez,1,
QUO-000121,OPP-000013,Company 7485,2025-05-08,2025-06-22,164079.68,5,8203.98,12470.06,168345.75,Accepted,Net 60,12,David Martinez,1,
QUO-000122,OPP-000138,Company 8992,2024-12-15,2025-03-15,345157.75,5,17257.89,26231.99,354131.85,Sent,Net 45,16,Jessica Martinez,2,2024-12-22
QUO-000123,OPP-000088,Company 7705,2025-08-24,2025-10-08,53802.98,0,0.0,4304.24,58107.22,Accepted,Net 30,16,Chris Patel,1,
QUO-000124,OPP-000100,Company 5336,2025-04-07,2025-06-06,404705.52,10,40470.55,29138.8,393373.77,Viewed,50% Upfront,12,Jessica Martinez,1,
QUO-000125,OPP-000120,Company 5047,2025-09-04,2025-12-03,456454.01,15,68468.1,31038.87,419024.79,Rejected,50% Upfront,12,David Martinez,1,
QUO-000126,OPP-000022,Company 9959,2025-06-02,2025-08-01,457577.76,0,0.0,36606.22,494183.98,Accepted,Net 30,8,Chris Patel,3,
QUO-000127,OPP-000089,Company 6217,2025-06-20,2025-07-20,381040.36,10,38104.04,27434.91,370371.23,Accepted,50% Upfront,6,David Martinez,2,
QUO-000128,OPP-000157,Company 8445,2025-09-26,2025-12-25,204692.35,0,0.0,16375.39,221067.74,Viewed,Net 60,12,Chris Patel,2,
QUO-000129,OPP-000108,Company 1452,2025-08-17,2025-10-16,403515.63,20,80703.13,25825.0,348637.51,Rejected,Net 45,12,David Martinez,2,
QUO-000130,OPP-000165,Company 9357,2025-10-16,2025-11-30,355797.39,5,17789.87,27040.6,365048.12,Accepted,Net 30,16,David Martinez,1,
QUO-000131,OPP-000172,Company 8516,2025-07-27,2025-09-25,65222.15,15,9783.32,4435.11,59873.93,Expired,Net 60,12,Chris Patel,2,
QUO-000132,OPP-000074,Company 2583,2025-07-07,2025-08-06,233365.37,0,0.0,18669.23,252034.6,Sent,50% Upfront,12,David Martinez,1,2025-07-14
QUO-000133,OPP-000053,Company 9151,2024-12-11,2025-02-09,468177.01,5,23408.85,35581.45,480349.62,Accepted,Net 60,4,Chris Patel,2,
QUO-000134,OPP-000062,Company 2371,2024-12-30,2025-01-29,19554.43,0,0.0,1564.35,21118.78,Expired,50% Upfront,16,David Martinez,1,
QUO-000135,OPP-000174,Company 5009,2025-07-03,2025-08-17,165292.7,0,0.0,13223.42,178516.11,Accepted,Net 45,4,David Martinez,2,
QUO-000136,OPP-000086,Company 8560,2025-09-24,2025-12-23,489568.25,10,48956.82,35248.91,475860.33,Rejected,Net 45,16,David Martinez,3,
QUO-000137,OPP-000099,Company 1765,2025-03-24,2025-05-23,64837.09,10,6483.71,4668.27,63021.65,Expired,Net 60,6,Jessica Martinez,3,
QUO-000138,OPP-000061,Company 5864,2024-11-30,2025-01-29,320251.07,20,64050.21,20496.07,276696.93,Rejected,Net 45,12,Jessica Martinez,1,
QUO-000139,OPP-000037,Company 6676,2025-08-08,2025-11-06,338227.32,0,0.0,27058.19,365285.5,Sent,50% Upfront,16,Chris Patel,2,2025-08-15
QUO-000140,OPP-000065,Company 1675,2025-03-27,2025-05-26,110238.42,5,5511.92,8378.12,113104.62,Viewed,Net 45,4,Chris Patel,1,
QUO-000141,OPP-000022,Company 8034,2024-11-04,2024-12-19,416290.23,10,41629.02,29972.9,404634.1,Sent,Net 45,12,Chris Patel,3,2024-11-11
QUO-000142,OPP-000066,Company 1621,2025-10-16,2025-11-15,27313.08,10,2731.31,1966.54,26548.31,Viewed,Net 45,8,Chris Patel,1,
QUO-000143,OPP-000071,Company 5498,2025-01-16,2025-03-02,194206.84,10,19420.68,13982.89,188769.05,Rejected,Net 60,6,David Martinez,1,
QUO-000144,OPP-000032,Company 4874,2025-01-02,2025-03-03,44489.09,5,2224.45,3381.17,45645.81,Accepted,50% Upfront,12,David Martinez,1,
QUO-000145,OPP-000150,Company 7304,2024-11-20,2025-01-19,239038.2,0,0.0,19123.06,258161.25,Draft,Net 45,8,Chris Patel,2,
QUO-000146,OPP-000145,Company 1828,2025-02-02,2025-05-03,387582.11,0,0.0,31006.57,418588.67,Sent,50% Upfront,8,Jessica Martinez,2,2025-02-09
QUO-000147,OPP-000124,Company 9120,2025-01-11,2025-02-10,396443.22,5,19822.16,30129.68,406750.74,Accepted,Net 60,12,Chris Patel,1,
QUO-000148,OPP-000059,Company 9783,2025-07-02,2025-09-30,267360.88,10,26736.09,19249.98,259874.78,Sent,50% Upfront,12,Jessica Martinez,2,2025-07-09
QUO-000149,OPP-000176,Company 1235,2025-03-03,2025-05-02,49604.67,5,2480.23,3769.96,50894.39,Draft,Net 60,12,Chris Patel,1,
QUO-000150,OPP-000163,Company 6114,2024-11-23,2024-12-23,391219.28,5,19560.96,29732.66,401390.98,Sent,Net 60,12,Jessica Martinez,1,2024-11-30
