expense_id,month,department,category,budget_amount,actual_amount,variance,variance_pct,status,notes
EXP-000026,2023-11,Human Resources,Professional Services,1309.37,1141.49,-167.88,-12.82,Approved,Variance exceeds threshold
EXP-000027,2023-11,Human Resources,Insurance,3586.01,3070.68,-515.32,-14.37,Approved,Variance exceeds threshold
EXP-000028,2023-11,Human Resources,Supplies,3299.74,3631.37,331.63,10.05,Requires Review,Variance exceeds threshold
EXP-000029,2023-11,Human Resources,Shipping & Freight,3251.51,3514.45,262.94,8.09,Approved,
EXP-000030,2023-11,Human Resources,Telecommunications,1999.24,1941.5,-57.74,-2.89,Approved,
EXP-000031,2023-11,Human Resources,Training,3043.29,2757.3,-285.99,-9.4,Approved,
EXP-000032,2023-11,Human Resources,R&D Materials,1174.81,1160.44,-14.36,-1.22,Approved,
EXP-000033,2023-11,Human Resources,Facility Maintenance,4557.02,4323.94,-233.08,-5.11,Approved,
EXP-000034,2023-11,Human Resources,Depreciation,4075.1,4375.9,300.8,7.38,Approved,
EXP-000035,2023-11,Sales & Marketing,Salaries & Wages,198188.93,212526.75,14337.82,7.23,Approved,
EXP-000036,2023-11,Sales & Marketing,Benefits,38538.52,34044.44,-4494.08,-11.66,Approved,Variance exceeds threshold
EXP-000037,2023-11,Sales & Marketing,Office Rent,14544.68,16081.4,1536.72,10.57,Requires Review,Variance exceeds threshold
EXP-000038,2023-11,Sales & Marketing,Utilities,15739.57,17671.99,1932.42,12.28,Requires Review,Variance exceeds threshold
EXP-000039,2023-11,Sales & Marketing,Marketing & Advertising,75213.13,69488.47,-5724.66,-7.61,Approved,
EXP-000040,2023-11,Sales & Marketing,Travel & Entertainment,17750.91,16795.9,-955.01,-5.38,Approved,
EXP-000041,2023-11,Sales & Marketing,Software & Licenses,10220.39,9716.09,-504.3,-4.93,Approved,
EXP-000042,2023-11,Sales & Marketing,Equipment & Maintenance,7945.69,7366.75,-578.94,-7.29,Approved,
EXP-000043,2023-11,Sales & Marketing,Professional Services,11631.4,11858.28,226.89,1.95,Approved,
EXP-000044,2023-11,Sales & Marketing,Insurance,9907.12,8754.63,-1152.49,-11.63,Approved,Variance exceeds threshold
EXP-000045,2023-11,Sales & Marketing,Supplies,5664.82,5415.25,-249.57,-4.41,Approved,
EXP-000046,2023-11,Sales & Marketing,Shipping & Freight,12910.21,11824.52,-1085.69,-8.41,Approved,
EXP-000047,2023-11,Sales & Marketing,Telecommunications,4103.39,4300.06,196.67,4.79,Approved,
EXP-000048,2023-11,Sales & Marketing,Training,11968.29,11530.37,-437.92,-3.66,Approved,
EXP-000049,2023-11,Sales & Marketing,R&D Materials,13604.59,13586.89,-17.7,-0.13,Approved,
EXP-000050,2023-11,Sales & Marketing,Facility Maintenance,11876.41,10973.94,-902.47,-7.6,Approved,
EXP-000051,2023-11,Sales & Marketing,Depreciation,14284.1,15346.28,1062.18,7.44,Approved,
EXP-000052,2023-11,Product Development,Salaries & Wages,289294.94,287008.79,-2286.15,-0.79,Approved,
EXP-000053,2023-11,Product Development,Benefits,69722.33,73935.21,4212.88,6.04,Approved,
EXP-000054,2023-11,Product Development,Office Rent,9481.63,8235.15,-1246.47,-13.15,Approved,Variance exceeds threshold
EXP-000055,2023-11,Product Development,Utilities,7146.36,6762.18,-384.18,-5.38,Approved,
EXP-000056,2023-11,Product Development,Marketing & Advertising,16188.13,14252.58,-1935.55,-11.96,Approved,Variance exceeds threshold
EXP-000057,2023-11,Product Development,Travel & Entertainment,15112.74,15984.73,871.99,5.77,Approved,
EXP-000058,2023-11,Product Development,Software & Licenses,11270.53,11919.92,649.39,5.76,Approved,
EXP-000059,2023-11,Product Development,Equipment & Maintenance,5738.09,6217.4,479.3,8.35,Approved,
EXP-000060,2023-11,Product Development,Professional Services,12757.24,13292.55,535.31,4.2,Approved,
EXP-000061,2023-11,Product Development,Insurance,12349.53,12831.27,481.73,3.9,Approved,
EXP-000062,2023-11,Product Development,Supplies,11370.28,10763.19,-607.09,-5.34,Approved,
EXP-000063,2023-11,Product Development,Shipping & Freight,6109.75,6674.77,565.02,9.25,Approved,
EXP-000064,2023-11,Product Development,Telecommunications,19146.46,16380.9,-2765.56,-14.44,Approved,Variance exceeds threshold
EXP-000065,2023-11,Product Development,Training,5449.93,6051.42,601.49,11.04,Requires Review,Variance exceeds threshold
EXP-000066,2023-11,Product Development,R&D Materials,46337.61,49037.27,2699.65,5.83,Approved,
EXP-000067,2023-11,Product Development,Facility Maintenance,13721.36,14163.85,442.49,3.22,Approved,
EXP-000068,2023-11,Product Development,Depreciation,18064.16,16287.56,-1776.61,-9.83,Approved,
EXP-000069,2023-11,Manufacturing,Salaries & Wages,210853.32,239950.54,29097.22,13.8,Requires Review,Variance exceeds threshold
EXP-000070,2023-11,Manufacturing,Benefits,63525.95,67285.3,3759.36,5.92,Approved,
EXP-000071,2023-11,Manufacturing,Office Rent,7382.63,7423.42,40.79,0.55,Approved,
EXP-000072,2023-11,Manufacturing,Utilities,14786.84,16469.15,1682.3,11.38,Requires Review,Variance exceeds threshold
EXP-000073,2023-11,Manufacturing,Marketing & Advertising,9320.13,8909.13,-411.0,-4.41,Approved,
EXP-000074,2023-11,Manufacturing,Travel & Entertainment,10030.14,10053.82,23.68,0.24,Approved,
EXP-000075,2023-11,Manufacturing,Software & Licenses,13050.29,14923.35,1873.07,14.35,Requires Review,Variance exceeds threshold
EXP-000076,2023-11,Manufacturing,Equipment & Maintenance,13521.55,13271.72,-249.83,-1.85,Approved,
EXP-000077,2023-11,Manufacturing,Professional Services,18892.25,17892.72,-999.52,-5.29,Approved,
EXP-000078,2023-11,Manufacturing,Insurance,4768.95,4542.3,-226.65,-4.75,Approved,
EXP-000079,2023-11,Manufacturing,Supplies,4930.54,4570.31,-360.23,-7.31,Approved,
EXP-000080,2023-11,Manufacturing,Shipping & Freight,6798.32,7630.41,832.09,12.24,Requires Review,Variance exceeds threshold
EXP-000081,2023-11,Manufacturing,Telecommunications,7180.78,6350.97,-829.81,-11.56,Approved,Variance exceeds threshold
EXP-000082,2023-11,Manufacturing,Training,4817.1,4613.5,-203.6,-4.23,Approved,
EXP-000083,2023-11,Manufacturing,R&D Materials,6363.24,6531.43,168.19,2.64,Approved,
EXP-000084,2023-11,Manufacturing,Facility Maintenance,16706.63,15786.68,-919.95,-5.51,Approved,
EXP-000085,2023-11,Manufacturing,Depreciation,12211.9,12141.86,-70.04,-0.57,Approved,
EXP-000086,2023-11,Quality Assurance,Salaries & Wages,67894.41,63160.53,-4733.88,-6.97,Approved,
EXP-000087,2023-11,Quality Assurance,Benefits,20908.75,23707.16,2798.4,13.38,Requires Review,Variance exceeds threshold
EXP-000088,2023-11,Quality Assurance,Office Rent,5256.72,5504.57,247.85,4.71,Approved,
EXP-000089,2023-11,Quality Assurance,Utilities,2574.59,2836.13,261.53,10.16,Requires Review,Variance exceeds threshold
EXP-000090,2023-11,Quality Assurance,Marketing & Advertising,2833.38,2747.99,-85.39,-3.01,Approved,
EXP-000091,2023-11,Quality Assurance,Travel & Entertainment,4774.28,4061.62,-712.66,-14.93,Approved,Variance exceeds threshold
EXP-000092,2023-11,Quality Assurance,Software & Licenses,2845.81,2897.39,51.58,1.81,Approved,
EXP-000093,2023-11,Quality Assurance,Equipment & Maintenance,2916.66,3322.74,406.08,13.92,Requires Review,Variance exceeds threshold
EXP-000094,2023-11,Quality Assurance,Professional Services,2242.65,2372.8,130.15,5.8,Approved,
EXP-000095,2023-11,Quality Assurance,Insurance,1279.4,1274.59,-4.81,-0.38,Approved,
EXP-000096,2023-11,Quality Assurance,Supplies,1313.79,1183.64,-130.15,-9.91,Approved,
EXP-000097,2023-11,Quality Assurance,Shipping & Freight,5470.1,6038.98,568.88,10.4,Requires Review,Variance exceeds threshold
EXP-000098,2023-11,Quality Assurance,Telecommunications,1651.43,1879.91,228.49,13.84,Requires Review,Variance exceeds threshold
EXP-000099,2023-11,Quality Assurance,Training,3330.31,2855.91,-474.4,-14.24,Approved,Variance exceeds threshold
EXP-000100,2023-11,Quality Assurance,R&D Materials,4944.1,5027.23,83.13,1.68,Approved,
EXP-000101,2023-11,Quality Assurance,Facility Maintenance,1810.61,1842.23,31.62,1.75,Approved,
EXP-000102,2023-11,Quality Assurance,Depreciation,1384.62,1565.72,181.1,13.08,Requires Review,Variance exceeds threshold
EXP-000103,2023-11,Customer Service,Salaries & Wages,70589.54,66989.19,-3600.34,-5.1,Approved,
EXP-000104,2023-11,Customer Service,Benefits,15363.99,16866.41,1502.42,9.78,Approved,
EXP-000105,2023-11,Customer Service,Office Rent,2780.55,3060.26,279.71,10.06,Requires Review,Variance exceeds threshold
EXP-000106,2023-11,Customer Service,Utilities,4058.12,4238.46,180.34,4.44,Approved,
EXP-000107,2023-11,Customer Service,Marketing & Advertising,4364.7,3735.52,-629.18,-14.42,Approved,Variance exceeds threshold
EXP-000108,2023-11,Customer Service,Travel & Entertainment,2516.95,2419.15,-97.8,-3.89,Approved,
EXP-000109,2023-11,Customer Service,Software & Licenses,4406.24,4028.14,-378.1,-8.58,Approved,
EXP-000110,2023-11,Customer Service,Equipment & Maintenance,1146.57,1061.91,-84.66,-7.38,Approved,
EXP-000111,2023-11,Customer Service,Professional Services,5111.29,4830.39,-280.9,-5.5,Approved,
EXP-000112,2023-11,Customer Service,Insurance,3836.11,3999.32,163.2,4.25,Approved,
EXP-000113,2023-11,Customer Service,Supplies,2265.8,2078.81,-186.99,-8.25,Approved,
EXP-000114,2023-11,Customer Service,Shipping & Freight,2336.66,2580.66,244.0,10.44,Requires Review,Variance exceeds threshold
EXP-000115,2023-11,Customer Service,Telecommunications,1532.93,1388.22,-144.72,-9.44,Approved,
EXP-000116,2023-11,Customer Service,Training,3658.23,3487.92,-170.31,-4.66,Approved,
EXP-000117,2023-11,Customer Service,R&D Materials,5375.57,4841.12,-534.45,-9.94,Approved,
EXP-000118,2023-11,Customer Service,Facility Maintenance,3967.72,4540.19,572.47,14.43,Requires Review,Variance exceeds threshold
EXP-000119,2023-11,Customer Service,Depreciation,4201.67,4022.81,-178.87,-4.26,Approved,
EXP-000120,2023-11,Finance,Salaries & Wages,89530.03,93187.71,3657.68,4.09,Approved,
EXP-000121,2023-11,Finance,Benefits,22349.89,23118.36,768.47,3.44,Approved,
EXP-000122,2023-11,Finance,Office Rent,5816.42,5407.69,-408.74,-7.03,Approved,
EXP-000123,2023-11,Finance,Utilities,4121.97,4584.41,462.43,11.22,Requires Review,Variance exceeds threshold
EXP-000124,2023-11,Finance,Marketing & Advertising,4111.77,4163.04,51.27,1.25,Approved,
EXP-000125,2023-11,Finance,Travel & Entertainment,5810.25,6580.32,770.07,13.25,Requires Review,Variance exceeds threshold
EXP-000126,2023-11,Finance,Software & Licenses,2322.56,2641.4,318.84,13.73,Requires Review,Variance exceeds threshold
EXP-000127,2023-11,Finance,Equipment & Maintenance,2903.9,3063.91,160.01,5.51,Approved,
EXP-000128,2023-11,Finance,Professional Services,5132.66,5672.15,539.49,10.51,Requires Review,Variance exceeds threshold
EXP-000129,2023-11,Finance,Insurance,6237.83,5769.79,-468.04,-7.5,Approved,
EXP-000130,2023-11,Finance,Supplies,1660.27,1628.58,-31.69,-1.91,Approved,
EXP-000131,2023-11,Finance,Shipping & Freight,6984.36,6876.91,-107.45,-1.54,Approved,
EXP-000132,2023-11,Finance,Telecommunications,3087.64,3120.85,33.21,1.08,Approved,
EXP-000133,2023-11,Finance,Training,1651.37,1515.09,-136.28,-8.25,Approved,
EXP-000134,2023-11,Finance,R&D Materials,5337.57,5451.57,114.0,2.14,Approved,
EXP-000135,2023-11,Finance,Facility Maintenance,5621.02,6364.91,743.89,13.23,Requires Review,Variance exceeds threshold
EXP-000136,2023-11,Finance,Depreciation,3762.21,3652.71,-109.5,-2.91,Approved,
EXP-000137,2023-11,IT & Systems,Salaries & Wages,64706.81,68493.73,3786.92,5.85,Approved,
EXP-000138,2023-11,IT & Systems,Benefits,14577.11,16173.21,1596.1,10.95,Requires Review,Variance exceeds threshold
EXP-000139,2023-11,IT & Systems,Office Rent,3654.63,3274.89,-379.75,-10.39,Approved,Variance exceeds threshold
EXP-000140,2023-11,IT & Systems,Utilities,2913.29,3122.16,208.88,7.17,Approved,
EXP-000141,2023-11,IT & Systems,Marketing & Advertising,4654.96,4061.93,-593.02,-12.74,Approved,Variance exceeds threshold
EXP-000142,2023-11,IT & Systems,Travel & Entertainment,1566.58,1784.0,217.42,13.88,Requires Review,Variance exceeds threshold
EXP-000143,2023-11,IT & Systems,Software & Licenses,1439.18,1233.11,-206.07,-14.32,Approved,Variance exceeds threshold
EXP-000144,2023-11,IT & Systems,Equipment & Maintenance,3626.62,3932.43,305.81,8.43,Approved,
EXP-000145,2023-11,IT & Systems,Professional Services,1393.94,1315.41,-78.53,-5.63,Approved,
EXP-000146,2023-11,IT & Systems,Insurance,1150.15,1314.53,164.38,14.29,Requires Review,Variance exceeds threshold
EXP-000147,2023-11,IT & Systems,Supplies,1763.12,1873.46,110.33,6.26,Approved,
EXP-000148,2023-11,IT & Systems,Shipping & Freight,4443.72,3793.57,-650.16,-14.63,Approved,Variance exceeds threshold
EXP-000149,2023-11,IT & Systems,Telecommunications,4559.34,4100.0,-459.35,-10.07,Approved,Variance exceeds threshold
EXP-000150,2023-11,IT & Systems,Training,2766.38,2696.0,-70.38,-2.54,Approved,
EXP-000151,2023-11,IT & Systems,R&D Materials,2760.41,3150.95,390.54,14.15,Requires Review,Variance exceeds threshold
EXP-000152,2023-11,IT & Systems,Facility Maintenance,2777.5,3073.35,295.86,10.65,Requires Review,Variance exceeds threshold
EXP-000153,2023-11,IT & Systems,Depreciation,3610.58,3426.07,-184.5,-5.11,Approved,
EXP-000154,2023-11,Legal & Compliance,Salaries & Wages,61803.08,64798.7,2995.61,4.85,Approved,
EXP-000155,2023-11,Legal & Compliance,Benefits,13672.73,12960.22,-712.51,-5.21,Approved,
EXP-000156,2023-11,Legal & Compliance,Office Rent,1220.57,1081.6,-138.97,-11.39,Approved,Variance exceeds threshold
EXP-000157,2023-11,Legal & Compliance,Utilities,2169.41,1954.92,-214.49,-9.89,Approved,
EXP-000158,2023-11,Legal & Compliance,Marketing & Advertising,1402.66,1610.72,208.06,14.83,Requires Review,Variance exceeds threshold
EXP-000159,2023-11,Legal & Compliance,Travel & Entertainment,4226.84,4443.82,216.98,5.13,Approved,
EXP-000160,2023-11,Legal & Compliance,Software & Licenses,4244.23,4529.69,285.45,6.73,Approved,
EXP-000161,2023-11,Legal & Compliance,Equipment & Maintenance,1575.56,1541.34,-34.23,-2.17,Approved,
EXP-000162,2023-11,Legal & Compliance,Professional Services,4895.54,4708.89,-186.65,-3.81,Approved,
EXP-000163,2023-11,Legal & Compliance,Insurance,1446.61,1564.94,118.33,8.18,Approved,
EXP-000164,2023-11,Legal & Compliance,Supplies,3773.67,4103.43,329.76,8.74,Approved,
EXP-000165,2023-11,Legal & Compliance,Shipping & Freight,2666.6,2628.04,-38.56,-1.45,Approved,
EXP-000166,2023-11,Legal & Compliance,Telecommunications,1537.11,1523.28,-13.83,-0.9,Approved,
EXP-000167,2023-11,Legal & Compliance,Training,1249.74,1305.46,55.72,4.46,Approved,
EXP-000168,2023-11,Legal & Compliance,R&D Materials,3960.17,3476.77,-483.41,-12.21,Approved,Variance exceeds threshold
EXP-000169,2023-11,Legal & Compliance,Facility Maintenance,1043.0,1191.97,148.97,14.28,Requires Review,Variance exceeds threshold
EXP-000170,2023-11,Legal & Compliance,Depreciation,3938.75,3361.91,-576.85,-14.65,Approved,Variance exceeds threshold
EXP-000171,2023-12,Executive Leadership,Salaries & Wages,121010.81,105249.46,-15761.35,-13.02,Approved,Variance exceeds threshold
EXP-000172,2023-12,Executive Leadership,Benefits,31955.46,33717.13,1761.67,5.51,Approved,
EXP-000173,2023-12,Executive Leadership,Office Rent,4968.5,5450.65,482.16,9.7,Approved,
EXP-000174,2023-12,Executive Leadership,Utilities,10708.75,11599.37,890.61,8.32,Approved,
EXP-000175,2023-12,Executive Leadership,Marketing & Advertising,7872.01,7662.96,-209.05,-2.66,Approved,
EXP-000176,2023-12,Executive Leadership,Travel & Entertainment,21783.08,19115.39,-2667.69,-12.25,Approved,Variance exceeds threshold
EXP-000177,2023-12,Executive Leadership,Software & Licenses,8176.83,7061.18,-1115.65,-13.64,Approved,Variance exceeds threshold
EXP-000178,2023-12,Executive Leadership,Equipment & Maintenance,2467.19,2299.95,-167.25,-6.78,Approved,
EXP-000179,2023-12,Executive Leadership,Professional Services,3191.03,2860.72,-330.31,-10.35,Approved,Variance exceeds threshold
EXP-000180,2023-12,Executive Leadership,Insurance,7553.55,7642.67,89.12,1.18,Approved,
EXP-000181,2023-12,Executive Leadership,Supplies,8589.54,9318.89,729.35,8.49,Approved,
EXP-000182,2023-12,Executive Leadership,Shipping & Freight,9673.98,9422.91,-251.07,-2.6,Approved,
EXP-000183,2023-12,Executive Leadership,Telecommunications,8475.08,8392.51,-82.57,-0.97,Approved,
EXP-000184,2023-12,Executive Leadership,Training,4671.46,4782.26,110.8,2.37,Approved,
EXP-000185,2023-12,Executive Leadership,R&D Materials,2410.04,2116.05,-293.99,-12.2,Approved,Variance exceeds threshold
EXP-000186,2023-12,Executive Leadership,Facility Maintenance,7091.98,7236.4,144.43,2.04,Approved,
EXP-000187,2023-12,Executive Leadership,Depreciation,10068.34,9960.24,-108.1,-1.07,Approved,
EXP-000188,2023-12,Human Resources,Salaries & Wages,55855.63,48325.31,-7530.33,-13.48,Approved,Variance exceeds threshold
EXP-000189,2023-12,Human Resources,Benefits,15677.64,14734.71,-942.93,-6.01,Approved,
EXP-000190,2023-12,Human Resources,Office Rent,3590.58,3125.15,-465.43,-12.96,Approved,Variance exceeds threshold
EXP-000191,2023-12,Human Resources,Utilities,3515.26,3758.89,243.63,6.93,Approved,
EXP-000192,2023-12,Human Resources,Marketing & Advertising,4303.3,4189.12,-114.18,-2.65,Approved,
EXP-000193,2023-12,Human Resources,Travel & Entertainment,1264.66,1136.72,-127.93,-10.12,Approved,Variance exceeds threshold
EXP-000194,2023-12,Human Resources,Software & Licenses,3797.95,3444.66,-353.29,-9.3,Approved,
EXP-000195,2023-12,Human Resources,Equipment & Maintenance,2634.16,2240.48,-393.68,-14.95,Approved,Variance exceeds threshold
EXP-000196,2023-12,Human Resources,Professional Services,4191.14,4306.78,115.63,2.76,Approved,
EXP-000197,2023-12,Human Resources,Insurance,3484.43,3212.42,-272.01,-7.81,Approved,
EXP-000198,2023-12,Human Resources,Supplies,3551.71,3455.22,-96.49,-2.72,Approved,
EXP-000199,2023-12,Human Resources,Shipping & Freight,1998.96,2102.57,103.61,5.18,Approved,
EXP-000200,2023-12,Human Resources,Telecommunications,3505.54,3210.11,-295.43,-8.43,Approved,
EXP-000201,2023-12,Human Resources,Training,1240.36,1069.69,-170.67,-13.76,Approved,Variance exceeds threshold
EXP-000202,2023-12,Human Resources,R&D Materials,1350.78,1427.22,76.44,5.66,Approved,
EXP-000203,2023-12,Human Resources,Facility Maintenance,1217.17,1375.57,158.4,13.01,Requires Review,Variance exceeds threshold
EXP-000204,2023-12,Human Resources,Depreciation,2024.95,1802.6,-222.35,-10.98,Approved,Variance exceeds threshold
EXP-000205,2023-12,Sales & Marketing,Salaries & Wages,182089.06,174021.58,-8067.48,-4.43,Approved,
EXP-000206,2023-12,Sales & Marketing,Benefits,48996.16,55134.55,6138.39,12.53,Requires Review,Variance exceeds threshold
EXP-000207,2023-12,Sales & Marketing,Office Rent,5370.56,4955.6,-414.96,-7.73,Approved,
EXP-000208,2023-12,Sales & Marketing,Utilities,8444.09,9656.09,1212.0,14.35,Requires Review,Variance exceeds threshold
EXP-000209,2023-12,Sales & Marketing,Marketing & Advertising,68662.39,70959.95,2297.56,3.35,Approved,
EXP-000210,2023-12,Sales & Marketing,Travel & Entertainment,25568.49,22580.33,-2988.16,-11.69,Approved,Variance exceeds threshold
EXP-000211,2023-12,Sales & Marketing,Software & Licenses,8917.96,7964.51,-953.45,-10.69,Approved,Variance exceeds threshold
EXP-000212,2023-12,Sales & Marketing,Equipment & Maintenance,11658.52,11880.71,222.2,1.91,Approved,
EXP-000213,2023-12,Sales & Marketing,Professional Services,3869.14,3756.85,-112.29,-2.9,Approved,
EXP-000214,2023-12,Sales & Marketing,Insurance,11753.19,10961.39,-791.8,-6.74,Approved,
EXP-000215,2023-12,Sales & Marketing,Supplies,5490.81,4974.5,-516.3,-9.4,Approved,
EXP-000216,2023-12,Sales & Marketing,Shipping & Freight,13033.32,14724.52,1691.2,12.98,Requires Review,Variance exceeds threshold
EXP-000217,2023-12,Sales & Marketing,Telecommunications,11148.55,9627.57,-1520.99,-13.64,Approved,Variance exceeds threshold
EXP-000218,2023-12,Sales & Marketing,Training,4836.55,4309.17,-527.39,-10.9,Approved,Variance exceeds threshold
EXP-000219,2023-12,Sales & Marketing,R&D Materials,3912.83,4095.06,182.23,4.66,Approved,
EXP-000220,2023-12,Sales & Marketing,Facility Maintenance,14035.13,15363.4,1328.28,9.46,Approved,
EXP-000221,2023-12,Sales & Marketing,Depreciation,10097.05,10193.26,96.21,0.95,Approved,
EXP-000222,2023-12,Product Development,Salaries & Wages,254717.86,230275.67,-24442.19,-9.6,Approved,
EXP-000223,2023-12,Product Development,Benefits,63204.9,62715.07,-489.83,-0.77,Approved,
EXP-000224,2023-12,Product Development,Office Rent,15887.38,14983.07,-904.31,-5.69,Approved,
EXP-000225,2023-12,Product Development,Utilities,7608.07,8001.22,393.15,5.17,Approved,
EXP-000226,2023-12,Product Development,Marketing & Advertising,21918.66,20535.51,-1383.15,-6.31,Approved,
EXP-000227,2023-12,Product Development,Travel & Entertainment,10804.1,10954.31,150.21,1.39,Approved,
EXP-000228,2023-12,Product Development,Software & Licenses,6620.45,6131.17,-489.29,-7.39,Approved,
EXP-000229,2023-12,Product Development,Equipment & Maintenance,9141.91,8822.51,-319.41,-3.49,Approved,
EXP-000230,2023-12,Product Development,Professional Services,18804.26,19200.52,396.26,2.11,Approved,
EXP-000231,2023-12,Product Development,Insurance,12785.09,12920.75,135.65,1.06,Approved,
EXP-000232,2023-12,Product Development,Supplies,11949.8,10316.1,-1633.7,-13.67,Approved,Variance exceeds threshold
EXP-000233,2023-12,Product Development,Shipping & Freight,14772.16,12822.92,-1949.24,-13.2,Approved,Variance exceeds threshold
EXP-000234,2023-12,Product Development,Telecommunications,11093.34,9785.25,-1308.09,-11.79,Approved,Variance exceeds threshold
EXP-000235,2023-12,Product Development,Training,6258.14,6576.35,318.21,5.08,Approved,
EXP-000236,2023-12,Product Development,R&D Materials,48872.53,54197.67,5325.14,10.9,Requires Review,Variance exceeds threshold
EXP-000237,2023-12,Product Development,Facility Maintenance,9955.59,10620.77,665.18,6.68,Approved,
EXP-000238,2023-12,Product Development,Depreciation,6019.92,6179.58,159.65,2.65,Approved,
EXP-000239,2023-12,Manufacturing,Salaries & Wages,215866.89,233000.64,17133.75,7.94,Approved,
EXP-000240,2023-12,Manufacturing,Benefits,52074.41,48177.73,-3896.68,-7.48,Approved,
EXP-000241,2023-12,Manufacturing,Office Rent,10382.4,9925.38,-457.02,-4.4,Approved,
EXP-000242,2023-12,Manufacturing,Utilities,6944.14,7217.77,273.63,3.94,Approved,
EXP-000243,2023-12,Manufacturing,Marketing & Advertising,12242.9,13705.97,1463.07,11.95,Requires Review,Variance exceeds threshold
EXP-000244,2023-12,Manufacturing,Travel & Entertainment,4658.32,4894.34,236.02,5.07,Approved,
EXP-000245,2023-12,Manufacturing,Software & Licenses,11131.12,9565.48,-1565.64,-14.07,Approved,Variance exceeds threshold
EXP-000246,2023-12,Manufacturing,Equipment & Maintenance,7323.9,7254.2,-69.69,-0.95,Approved,
EXP-000247,2023-12,Manufacturing,Professional Services,9749.23,9671.1,-78.13,-0.8,Approved,
EXP-000248,2023-12,Manufacturing,Insurance,15836.42,14101.13,-1735.29,-10.96,Approved,Variance exceeds threshold
EXP-000249,2023-12,Manufacturing,Supplies,16617.25,17059.83,442.58,2.66,Approved,
EXP-000250,2023-12,Manufacturing,Shipping & Freight,13928.95,13658.48,-270.46,-1.94,Approved,
EXP-000251,2023-12,Manufacturing,Telecommunications,15487.12,17262.28,1775.16,11.46,Requires Review,Variance exceeds threshold
EXP-000252,2023-12,Manufacturing,Training,17503.62,16036.25,-1467.37,-8.38,Approved,
EXP-000253,2023-12,Manufacturing,R&D Materials,12324.6,13015.96,691.36,5.61,Approved,
EXP-000254,2023-12,Manufacturing,Facility Maintenance,18403.93,19762.56,1358.63,7.38,Approved,
EXP-000255,2023-12,Manufacturing,Depreciation,16559.65,16739.31,179.66,1.08,Approved,
EXP-000256,2023-12,Quality Assurance,Salaries & Wages,74742.36,69801.77,-4940.59,-6.61,Approved,
EXP-000257,2023-12,Quality Assurance,Benefits,17099.26,17343.06,243.8,1.43,Approved,
EXP-000258,2023-12,Quality Assurance,Office Rent,5525.69,5451.77,-73.92,-1.34,Approved,
