department,job_level,employee_count,avg_base_salary,min_salary,max_salary,median_salary,avg_bonus_pct,avg_total_comp,market_percentile
IT & Systems,VP,11,220112.64,187095.75,264135.17,222136.18,14.3,254502.85,50
IT & Systems,Executive,11,293530.22,249500.69,352236.26,289786.22,13.8,345129.62,65
Legal & Compliance,Entry,12,61756.02,52492.61,74107.22,60643.47,13.1,66728.48,40
Legal & Compliance,Mid,2,88528.47,75249.2,106234.17,88106.7,11.8,102017.64,55
Legal & Compliance,Senior,3,112743.37,95831.86,135292.04,112156.49,13.7,123812.11,65
Legal & Compliance,Lead,13,130138.27,110617.53,156165.92,129789.04,8.8,143453.83,60
Legal & Compliance,Manager,6,122328.86,103979.54,146794.64,124333.9,15.4,137145.79,40
Legal & Compliance,Director,15,170544.18,144962.56,204653.02,170590.69,18.8,203577.73,40
Legal & Compliance,VP,3,216466.25,183996.31,259759.49,219050.0,9.3,245714.54,55
Legal & Compliance,Executive,6,278905.22,237069.43,334686.26,280304.75,12.4,336465.35,65
