bug_id,product_name,title,description,category,priority,severity,status,created_date,resolved_date,days_to_fix,assigned_to,reported_by,reproducible,version_affected,fix_version
BUG-000011,Fleet Management Platform,Integration - Error #11,"Bug Report: Inconsistent API Response for Sensor Health Status

Description:
The Predictive Maintenance AI system is intermittently returning incorrect sensor health status codes when queried through the REST API endpoint /api/v1/sensor-health. The r",Integration,Medium,Trivial,Closed,2024-07-25,2024-09-11,48,Marcus Johnson,QA,Sometimes,4.3.1,5.14.5
BUG-000012,Fleet Management Platform,Security - Defect #12,Security issue in Vision System Pro,Security,High,Critical,In Progress,2024-12-16,,,Nicole Sanders,Customer,Yes,3.3.5,
BUG-000013,Simulation Tool,Feature Malfunction - Problem #13,Feature Malfunction issue in Fleet Management Platform,Feature Malfunction,Medium,Trivial,Closed,2025-07-27,2025-09-07,42,Nicole Sanders,Customer,Sometimes,1.3.3,2.7.18
BUG-000014,Fleet Management Platform,Security - Issue #14,"Bug Report: Unauthorized Access to Robot Control Interface After Session Timeout

Description:
During security testing, discovered that expired user sessions are not being properly terminated in RobotOS Control Suite v2.4.3. After the 30-minute timeo",Security,High,Trivial,In Progress,2023-12-09,,,Emily Thompson,Engineering,Yes,2.0.4,
BUG-000015,Predictive Maintenance AI,UI/UX Issue - Problem #15,UI/UX Issue issue in Vision System Pro,UI/UX Issue,Medium,Trivial,In Progress,2025-05-30,,,Emily Thompson,Support,Sometimes,2.8.13,
BUG-000016,RobotOS Control Suite,Documentation - Defect #16,Documentation issue in RobotOS Control Suite,Documentation,High,Trivial,Fixed,2025-01-25,2025-02-01,7,Rachel Green,Support,Yes,5.6.2,4.11.11
BUG-000017,RobotOS Control Suite,Documentation - Issue #17,Documentation issue in Simulation Tool,Documentation,Medium,Critical,Fixed,2024-11-12,2024-11-25,13,Rachel Green,Support,Yes,3.8.7,3.15.0
BUG-000018,RobotOS Control Suite,Crash/Stability - Issue #18,Crash/Stability issue in Predictive Maintenance AI,Crash/Stability,Critical,Critical,Open,2024-01-06,,,Emily Thompson,QA,Yes,4.15.16,
BUG-000019,Vision System Pro,Data Integrity - Error #19,Data Integrity issue in Predictive Maintenance AI,Data Integrity,Medium,Trivial,In Progress,2024-08-10,,,Nicole Sanders,Customer,Yes,4.12.4,
BUG-000020,RobotOS Control Suite,Data Integrity - Error #20,"Bug Report: RobotOS Control Suite v2.4.3
Issue: Historical motion data corruption after emergency stop

Description:
When executing an emergency stop during multi-axis movement sequences, the system occasionally corrupts historical motion data in the",Data Integrity,Low,Minor,Fixed,2024-06-13,2024-08-10,58,Nicole Sanders,Customer,Yes,4.2.5,3.0.14
BUG-000021,RobotOS Control Suite,Feature Malfunction - Issue #21,Feature Malfunction issue in Simulation Tool,Feature Malfunction,Low,Trivial,Open,2024-04-26,,,Rachel Green,QA,Yes,1.5.11,
BUG-000022,RobotOS Control Suite,Security - Issue #22,Security issue in Predictive Maintenance AI,Security,Medium,Major,In Progress,2023-11-14,,,Rachel Green,Engineering,No,2.13.10,
BUG-000023,Vision System Pro,Performance - Issue #23,Performance issue in Fleet Management Platform,Performance,Low,Minor,Open,2024-01-15,,,Rachel Green,Customer,Yes,3.11.13,
BUG-000024,Simulation Tool,Feature Malfunction - Error #24,Feature Malfunction issue in Simulation Tool,Feature Malfunction,High,Critical,Fixed,2025-03-06,2025-03-09,3,Marcus Johnson,Customer,Yes,5.0.1,3.15.18
BUG-000025,Fleet Management Platform,Data Integrity - Problem #25,Data Integrity issue in Vision System Pro,Data Integrity,Low,Minor,Closed,2024-08-18,2024-09-26,39,Nicole Sanders,Customer,Yes,1.5.12,4.14.0
BUG-000026,Vision System Pro,Documentation - Problem #26,"Bug Report: Inconsistent Joint Angle Documentation in Simulation Tool

Description:
The joint angle conventions documented in the user manual (v2.4.3) do not match the actual behavior in the simulation environment. When programming robot arm movement",Documentation,Medium,Minor,Fixed,2025-04-28,2025-05-14,16,Rachel Green,Engineering,Sometimes,5.3.15,2.0.6
BUG-000027,Vision System Pro,Integration - Defect #27,Integration issue in Predictive Maintenance AI,Integration,Medium,Critical,Fixed,2023-11-22,2024-01-02,41,Rachel Green,QA,Yes,4.12.11,2.7.6
BUG-000028,RobotOS Control Suite,Data Integrity - Issue #28,"Bug Report: Inconsistent Sensor Data Persistence After Emergency Stop

Description:
When executing an emergency stop (E-stop) during a robotic arm simulation, sensor data from the force/torque sensors is not being properly saved to the simulation his",Data Integrity,Medium,Trivial,Fixed,2025-10-07,2025-11-06,30,Emily Thompson,QA,Sometimes,1.11.20,4.2.4
BUG-000029,Predictive Maintenance AI,Crash/Stability - Issue #29,Crash/Stability issue in Vision System Pro,Crash/Stability,Medium,Minor,Closed,2025-09-14,2025-09-30,16,Emily Thompson,Support,Yes,2.10.10,2.6.6
BUG-000030,RobotOS Control Suite,Performance - Error #30,Performance issue in Fleet Management Platform,Performance,Low,Critical,Fixed,2025-09-22,2025-11-05,44,Nicole Sanders,Engineering,Yes,1.13.14,4.12.1
BUG-000031,Predictive Maintenance AI,Integration - Defect #31,Integration issue in RobotOS Control Suite,Integration,High,Minor,Fixed,2025-10-04,2025-10-15,11,Nicole Sanders,Customer,Yes,3.4.7,4.13.18
BUG-000032,Predictive Maintenance AI,Integration - Issue #32,Integration issue in Predictive Maintenance AI,Integration,Medium,Major,Open,2024-12-24,,,Emily Thompson,Engineering,Yes,2.14.9,
BUG-000033,Predictive Maintenance AI,Security - Error #33,Security issue in Simulation Tool,Security,Medium,Major,Closed,2024-04-05,2024-05-18,43,Nicole Sanders,Engineering,Yes,5.12.15,4.3.7
BUG-000034,RobotOS Control Suite,UI/UX Issue - Defect #34,"Bug Report: Inconsistent Robot Arm Position Display in Control Panel

Description:
When operating the robotic arm through RobotOS Control Suite v2.4.1, the displayed joint angles in the GUI do not match the actual physical position of the robot. The ",UI/UX Issue,Medium,Minor,Fixed,2025-09-10,2025-09-21,11,Rachel Green,Engineering,Sometimes,5.12.12,4.9.18
BUG-000035,Predictive Maintenance AI,Crash/Stability - Problem #35,Crash/Stability issue in Predictive Maintenance AI,Crash/Stability,Low,Major,Closed,2024-06-24,2024-07-12,18,Marcus Johnson,Customer,Sometimes,5.14.19,4.7.13
BUG-000036,RobotOS Control Suite,Integration - Defect #36,"Bug Report: Inconsistent Robot Path Generation in Multi-Node Setup

Description:
When running path planning simulations with multiple robot nodes (3+) in version 2.4.1 of the Simulation Tool, the generated paths occasionally show unexpected deviation",Integration,Medium,Trivial,Closed,2024-07-30,2024-09-17,49,Marcus Johnson,QA,Sometimes,4.14.12,4.7.8
BUG-000037,Fleet Management Platform,Performance - Problem #37,"Bug Report: Inconsistent Vibration Analysis in PM-AI Module

Description:
The Predictive Maintenance AI system is showing inconsistent vibration analysis results for identical motor configurations. When monitoring two identical AC motors (Model: ABB ",Performance,Medium,Critical,Fixed,2025-01-19,2025-03-19,59,Nicole Sanders,Support,No,4.11.7,3.14.11
BUG-000038,Predictive Maintenance AI,Data Integrity - Error #38,Data Integrity issue in Predictive Maintenance AI,Data Integrity,High,Major,In Progress,2025-03-06,,,Nicole Sanders,Customer,Sometimes,4.10.18,
BUG-000039,RobotOS Control Suite,Feature Malfunction - Error #39,Feature Malfunction issue in RobotOS Control Suite,Feature Malfunction,Low,Trivial,Closed,2024-10-27,2024-11-22,26,Marcus Johnson,Customer,Yes,5.4.16,4.10.15
BUG-000040,RobotOS Control Suite,UI/UX Issue - Defect #40,UI/UX Issue issue in Vision System Pro,UI/UX Issue,Medium,Major,Wont Fix,2025-08-05,,,Emily Thompson,Customer,Sometimes,5.1.4,
BUG-000041,RobotOS Control Suite,Integration - Error #41,Integration issue in Vision System Pro,Integration,Medium,Trivial,In Progress,2025-06-28,,,Rachel Green,Engineering,Yes,4.11.11,
BUG-000042,Vision System Pro,Integration - Error #42,"Bug Report: Fleet Management Platform
Integration Issue: Robot Status Sync Failure

Description:
Multiple instances of robot status not synchronizing correctly between field units and the central dashboard. Affected robots appear ""Active"" in local co",Integration,High,Trivial,Fixed,2024-04-20,2024-05-03,13,Rachel Green,Customer,No,1.4.7,3.15.0
BUG-000043,Predictive Maintenance AI,Crash/Stability - Error #43,Crash/Stability issue in Predictive Maintenance AI,Crash/Stability,High,Major,In Progress,2024-02-25,,,Emily Thompson,Support,Yes,1.9.0,
BUG-000044,Vision System Pro,Data Integrity - Defect #44,"Bug Report: Vision System Pro - Inconsistent Object Detection Counts

Description:
The Vision System Pro is reporting inconsistent object count totals when processing identical batches of components on Production Line A. During repeated runs of the s",Data Integrity,Medium,Critical,Closed,2024-09-17,2024-10-02,15,Rachel Green,Engineering,Yes,5.14.17,4.13.11
BUG-000045,RobotOS Control Suite,Data Integrity - Error #45,"Bug Report: Sensor Data Corruption in Multi-Robot Simulation

Description:
When running simulations with 3+ robots in the same workspace, sensor data from the secondary robots becomes corrupted after approximately 15 minutes of runtime. The LIDAR rea",Data Integrity,High,Trivial,Open,2025-01-25,,,Emily Thompson,Customer,No,5.11.14,
BUG-000046,Vision System Pro,Performance - Problem #46,Performance issue in Simulation Tool,Performance,Medium,Critical,Open,2024-05-16,,,Nicole Sanders,Customer,Sometimes,2.15.16,
BUG-000047,Fleet Management Platform,Integration - Error #47,Integration issue in RobotOS Control Suite,Integration,High,Major,Open,2024-03-05,,,Rachel Green,Support,Yes,3.8.13,
BUG-000048,Vision System Pro,Security - Problem #48,"Bug Report: Unauthorized Access to Robot Status Data After User Session Timeout

Description:
When a user's session times out after 30 minutes of inactivity, the real-time robot status dashboard remains accessible through the browser's back button, e",Security,Medium,Minor,Fixed,2025-10-06,2025-10-28,22,Marcus Johnson,QA,Yes,3.7.11,3.14.1
BUG-000049,RobotOS Control Suite,Crash/Stability - Defect #49,Crash/Stability issue in Fleet Management Platform,Crash/Stability,High,Minor,Fixed,2024-12-11,2024-12-23,12,Marcus Johnson,Customer,Sometimes,4.11.10,2.15.1
BUG-000050,Vision System Pro,Documentation - Problem #50,"Bug Report: Inconsistent Sensor Data Logging in Predictive Maintenance Dashboard

Description:
The maintenance history graph in the Predictive Maintenance AI dashboard is displaying inconsistent temperature sensor readings for Robot Arm Unit #A-237. ",Documentation,Medium,Trivial,Wont Fix,2024-06-04,,,Marcus Johnson,Customer,No,2.7.17,
BUG-000051,Vision System Pro,Documentation - Error #51,Documentation issue in Fleet Management Platform,Documentation,High,Minor,Open,2024-02-03,,,Rachel Green,Support,Yes,1.0.1,
BUG-000052,Predictive Maintenance AI,Integration - Problem #52,"Bug Report: Fleet Management Platform
Issue: Intermittent API connection failures between third-party charging stations and fleet dashboard

Description:
When multiple autonomous robots attempt to connect to charging stations simultaneously, the flee",Integration,Low,Major,In Progress,2024-02-19,,,Marcus Johnson,Customer,No,4.15.11,
BUG-000053,Predictive Maintenance AI,Integration - Issue #53,"Bug Report: Simulation Tool Integration Failure

Description:
The simulation tool crashes when attempting to import custom robot arm configurations through the XML interface. After loading a valid XML file containing joint parameters and motion seque",Integration,High,Trivial,Open,2025-10-01,,,Emily Thompson,Customer,No,2.11.14,
BUG-000054,Fleet Management Platform,Performance - Problem #54,"Bug Report: Inconsistent Vibration Analysis Results

Description:
The predictive maintenance AI is producing inconsistent vibration analysis readings for motor bearings when ambient temperature exceeds 35°C. System shows significant variance (>15%) i",Performance,Medium,Trivial,Wont Fix,2024-06-04,,,Emily Thompson,Customer,Yes,2.0.11,
BUG-000055,Simulation Tool,Documentation - Defect #55,Documentation issue in RobotOS Control Suite,Documentation,Medium,Major,Fixed,2023-11-04,2023-12-01,27,Emily Thompson,Engineering,Yes,4.3.5,3.3.5
BUG-000056,RobotOS Control Suite,Feature Malfunction - Error #56,"Bug Report: Vision System Pro - Object Detection Calibration Drift

Description:
The Vision System Pro's object detection accuracy deteriorates significantly after approximately 4 hours of continuous operation. Initial calibration shows 99.8% accurac",Feature Malfunction,Medium,Trivial,Closed,2025-04-21,2025-05-07,16,Nicole Sanders,Engineering,No,4.1.16,1.12.19
BUG-000057,Predictive Maintenance AI,Feature Malfunction - Error #57,Feature Malfunction issue in Vision System Pro,Feature Malfunction,High,Major,In Progress,2025-06-13,,,Rachel Green,Engineering,Yes,1.9.1,
BUG-000058,Predictive Maintenance AI,Data Integrity - Issue #58,Data Integrity issue in Fleet Management Platform,Data Integrity,Medium,Trivial,Fixed,2024-06-21,2024-07-31,40,Emily Thompson,QA,No,3.15.20,2.12.6
BUG-000059,RobotOS Control Suite,Security - Problem #59,Security issue in Fleet Management Platform,Security,Medium,Trivial,In Progress,2024-11-28,,,Marcus Johnson,Customer,No,4.12.0,
BUG-000060,Predictive Maintenance AI,Documentation - Error #60,"Bug Report: Inconsistent Robot Status Documentation

Description:
The Fleet Management Platform documentation contains conflicting information regarding robot status codes. In section 3.2 ""Robot States and Transitions,"" the status code ""PAUSE_004"" is",Documentation,Low,Trivial,Closed,2024-01-28,2024-02-26,29,Marcus Johnson,Engineering,Sometimes,3.7.18,2.1.16
BUG-000061,Predictive Maintenance AI,Performance - Issue #61,"Bug Report: Intermittent Delay in Robot Status Updates

Description:
When monitoring multiple robots (10+) in the Fleet Management dashboard, status updates occasionally experience delays of 15-20 seconds, particularly for robots operating in Zone B ",Performance,Low,Minor,Fixed,2024-03-23,2024-05-08,46,Rachel Green,Customer,Yes,1.0.17,4.4.9
BUG-000062,Predictive Maintenance AI,Crash/Stability - Error #62,"Bug Report: Intermittent System Freeze During Vibration Analysis

Description:
The Predictive Maintenance AI module sporadically freezes when processing multiple vibration sensor inputs simultaneously. System becomes unresponsive for 45-60 seconds be",Crash/Stability,Medium,Trivial,In Progress,2025-07-07,,,Marcus Johnson,Support,No,2.12.10,
BUG-000063,RobotOS Control Suite,Data Integrity - Error #63,Data Integrity issue in Vision System Pro,Data Integrity,High,Critical,Open,2025-01-26,,,Emily Thompson,QA,Yes,4.14.18,
BUG-000064,Simulation Tool,Integration - Problem #64,Integration issue in Predictive Maintenance AI,Integration,Medium,Major,In Progress,2024-03-31,,,Rachel Green,Customer,No,4.5.9,
BUG-000065,Fleet Management Platform,UI/UX Issue - Defect #65,UI/UX Issue issue in Predictive Maintenance AI,UI/UX Issue,Medium,Major,Fixed,2024-11-07,2024-11-27,20,Emily Thompson,QA,Yes,1.2.5,1.1.19
BUG-000066,Simulation Tool,Feature Malfunction - Defect #66,Feature Malfunction issue in RobotOS Control Suite,Feature Malfunction,Medium,Minor,Open,2024-12-10,,,Nicole Sanders,Customer,Sometimes,5.13.7,
BUG-000067,Simulation Tool,Documentation - Issue #67,"Bug Report: Incorrect Robot Status Documentation in Fleet Management API Guide

Description:
The API documentation for robot status codes in section 4.2 of the Fleet Management Platform guide contains inconsistent information regarding the ""PAUSED"" s",Documentation,Low,Major,Fixed,2024-08-22,2024-10-13,52,Rachel Green,Customer,No,4.2.20,2.12.10
BUG-000068,Simulation Tool,Security - Problem #68,"Bug Report: Unauthorized Access to Robot Status Page After Session Timeout

Description:
When a user's session expires after the 30-minute timeout period, clicking the browser's back button allows access to the previously loaded Robot Status page (/f",Security,Medium,Minor,Wont Fix,2024-03-11,,,Nicole Sanders,QA,Yes,2.13.14,
BUG-000069,Fleet Management Platform,UI/UX Issue - Error #69,UI/UX Issue issue in Predictive Maintenance AI,UI/UX Issue,Medium,Trivial,Open,2025-06-25,,,Marcus Johnson,Support,Yes,4.3.15,
BUG-000070,Simulation Tool,UI/UX Issue - Error #70,"Bug Report: Inconsistent Tool Selection Behavior in RobotOS Control Suite v2.4.1

Description:
When attempting to switch between different robot control tools in the main workspace, the cursor occasionally remains in the previous tool's state despite",UI/UX Issue,Low,Minor,Wont Fix,2023-10-27,,,Rachel Green,Customer,Yes,4.3.20,
BUG-000071,Simulation Tool,Crash/Stability - Problem #71,Crash/Stability issue in Vision System Pro,Crash/Stability,High,Major,In Progress,2024-03-23,,,Emily Thompson,Engineering,Yes,3.6.11,
BUG-000072,RobotOS Control Suite,Crash/Stability - Defect #72,Crash/Stability issue in RobotOS Control Suite,Crash/Stability,Medium,Critical,In Progress,2024-12-19,,,Emily Thompson,Engineering,Yes,4.11.5,
BUG-000073,RobotOS Control Suite,UI/UX Issue - Defect #73,"Bug Report: Inconsistent Sensor Status Display in Dashboard

Description:
The real-time sensor status indicators in the Predictive Maintenance dashboard occasionally display conflicting information between the main overview panel and detailed compone",UI/UX Issue,Medium,Major,Fixed,2025-03-08,2025-04-15,38,Emily Thompson,Support,No,5.14.19,2.13.13
BUG-000074,Fleet Management Platform,Performance - Problem #74,"Bug Report: Intermittent Motor Response Delay in RobotOS Control Suite v2.4.1

Description:
When operating robotic arms through the Control Suite interface, there is an inconsistent delay between command input and motor execution. The delay ranges fr",Performance,Medium,Trivial,Fixed,2025-03-19,2025-04-13,25,Rachel Green,Support,Sometimes,1.15.20,4.15.8
BUG-000075,Simulation Tool,Crash/Stability - Problem #75,Crash/Stability issue in Predictive Maintenance AI,Crash/Stability,Medium,Major,Closed,2025-09-19,2025-10-07,18,Rachel Green,Customer,Yes,2.9.17,4.14.20
BUG-000076,Predictive Maintenance AI,Crash/Stability - Issue #76,Crash/Stability issue in Predictive Maintenance AI,Crash/Stability,Medium,Critical,Wont Fix,2024-08-13,,,Marcus Johnson,Support,Yes,3.1.0,
BUG-000077,Fleet Management Platform,Integration - Defect #77,"Bug Report: RobotOS Control Suite
Title: Motion Planning Module Fails to Resume After E-Stop Release

Description:
When executing multi-axis movement sequences, the motion planning module fails to properly resume operation after an emergency stop is ",Integration,Medium,Trivial,In Progress,2024-12-18,,,Marcus Johnson,Support,Yes,5.15.12,
BUG-000078,Vision System Pro,Performance - Defect #78,Performance issue in RobotOS Control Suite,Performance,Medium,Trivial,Wont Fix,2024-03-25,,,Emily Thompson,Customer,Yes,3.9.18,
BUG-000079,Predictive Maintenance AI,Performance - Error #79,Performance issue in Fleet Management Platform,Performance,Medium,Trivial,Closed,2025-01-09,2025-02-24,46,Rachel Green,Engineering,Yes,5.8.4,3.4.10
BUG-000080,Fleet Management Platform,Security - Defect #80,Security issue in Simulation Tool,Security,Low,Trivial,Fixed,2023-10-26,2023-11-14,19,Rachel Green,Customer,Yes,4.13.0,2.5.6
BUG-000081,RobotOS Control Suite,Crash/Stability - Problem #81,"Bug Report: Vision System Pro - Camera Feed Freeze
Priority: Medium
Category: Crash/Stability

Description:
During extended operation (>4 hours), the Vision System Pro camera feed intermittently freezes while maintaining active connection status. Sys",Crash/Stability,Medium,Major,In Progress,2024-04-14,,,Rachel Green,QA,Yes,2.11.11,
BUG-000082,RobotOS Control Suite,Feature Malfunction - Problem #82,"Bug Report: Simulation Tool Motion Path Desynchronization

Description:
During multi-axis robot simulation, the virtual controller loses synchronization with the programmed motion path when executing curved movements (arc/circular) at speeds above 12",Feature Malfunction,Critical,Critical,In Progress,2025-01-05,,,Emily Thompson,QA,Yes,3.13.17,
BUG-000083,Simulation Tool,Feature Malfunction - Error #83,Feature Malfunction issue in RobotOS Control Suite,Feature Malfunction,Medium,Minor,Fixed,2024-04-23,2024-05-25,32,Rachel Green,Support,Yes,3.8.8,4.3.10
BUG-000084,Vision System Pro,UI/UX Issue - Error #84,UI/UX Issue issue in Vision System Pro,UI/UX Issue,Medium,Trivial,Closed,2025-01-28,2025-02-15,18,Emily Thompson,Customer,Yes,1.4.17,3.9.2
BUG-000085,Predictive Maintenance AI,Feature Malfunction - Issue #85,"Bug Report: Inconsistent Robot Status Updates in Fleet Dashboard

Description:
When monitoring multiple robots through the Fleet Management Platform, the status indicators for individual robots occasionally freeze or display outdated information. The",Feature Malfunction,Low,Minor,Fixed,2024-06-24,2024-08-18,55,Marcus Johnson,Engineering,Yes,2.14.8,1.9.6
BUG-000086,Simulation Tool,Data Integrity - Error #86,"Bug Report: Vision System Pro - Data Mismatch in CSV Export

Description:
When exporting inspection results to CSV format from Vision System Pro v2.4.1, decimal values in the measurement data occasionally show inconsistent decimal places compared to ",Data Integrity,Low,Critical,Open,2025-07-30,,,Emily Thompson,QA,Sometimes,5.3.7,
BUG-000087,Vision System Pro,Documentation - Problem #87,Documentation issue in RobotOS Control Suite,Documentation,Low,Minor,Wont Fix,2024-12-22,,,Nicole Sanders,QA,Yes,2.14.11,
BUG-000088,Simulation Tool,Feature Malfunction - Defect #88,Feature Malfunction issue in Predictive Maintenance AI,Feature Malfunction,Medium,Trivial,Closed,2024-10-21,2024-10-30,9,Nicole Sanders,Customer,Yes,3.1.10,4.1.2
BUG-000089,Predictive Maintenance AI,Feature Malfunction - Problem #89,Feature Malfunction issue in Simulation Tool,Feature Malfunction,Medium,Trivial,Fixed,2024-12-05,2025-01-10,36,Emily Thompson,Customer,Sometimes,1.12.0,1.13.6
BUG-000090,Simulation Tool,Crash/Stability - Problem #90,Crash/Stability issue in Predictive Maintenance AI,Crash/Stability,Medium,Critical,Closed,2025-01-18,2025-02-17,30,Nicole Sanders,Customer,Sometimes,4.2.4,4.7.18
BUG-000091,Simulation Tool,Crash/Stability - Issue #91,"Bug Report: RobotOS Control Suite - Task Sequence Crash

Description:
When executing multiple sequential pick-and-place operations using the RobotOS Control Suite v2.4.1, the system intermittently crashes after completing approximately 15-20 cycles. ",Crash/Stability,Medium,Major,Closed,2024-02-20,2024-04-02,42,Rachel Green,Customer,Sometimes,2.6.5,5.1.10
BUG-000092,RobotOS Control Suite,Performance - Defect #92,Performance issue in Simulation Tool,Performance,Medium,Major,Fixed,2023-11-06,2023-12-02,26,Rachel Green,Support,No,3.1.17,3.1.6
BUG-000093,Fleet Management Platform,UI/UX Issue - Problem #93,UI/UX Issue issue in Vision System Pro,UI/UX Issue,Medium,Major,Closed,2025-08-03,2025-09-18,46,Nicole Sanders,Customer,No,4.10.5,5.0.0
BUG-000094,Simulation Tool,Security - Issue #94,Security issue in Predictive Maintenance AI,Security,Medium,Trivial,Open,2025-06-16,,,Rachel Green,Support,No,1.0.8,
BUG-000095,Vision System Pro,Performance - Problem #95,"Bug Report: Excessive CPU Usage During Sensor Data Processing
Priority: High
Category: Performance

Description:
The Predictive Maintenance AI system is experiencing severe performance degradation when processing multiple sensor data streams simultan",Performance,High,Minor,Fixed,2024-12-24,2025-01-02,9,Marcus Johnson,Customer,Yes,3.11.2,4.7.13
BUG-000096,Vision System Pro,Integration - Defect #96,"Bug Report: RobotOS Control Suite v2.4.3
Issue: Robot arm position desynchronization after emergency stop

Description:
When executing multi-axis movement sequences, the physical robot arm position becomes desynchronized from the software position tr",Integration,High,Trivial,Fixed,2025-05-12,2025-05-18,6,Rachel Green,Customer,Yes,2.4.4,1.2.20
BUG-000097,Predictive Maintenance AI,Documentation - Issue #97,"Bug Report: Incorrect Robot Status Documentation in Fleet Management API Guide

Description:
The API documentation for robot status codes in section 4.2 of the Fleet Management Platform guide contains inconsistent information regarding the ""PAUSED"" s",Documentation,Low,Major,Closed,2024-05-21,2024-07-17,57,Marcus Johnson,Customer,No,5.10.13,1.2.6
BUG-000098,Simulation Tool,Performance - Defect #98,Performance issue in RobotOS Control Suite,Performance,Low,Minor,In Progress,2025-02-07,,,Nicole Sanders,Customer,Yes,3.7.10,
BUG-000099,Vision System Pro,Documentation - Problem #99,"Bug Report: Incorrect Joint Angle Documentation in Simulation Export

Description:
When exporting joint angle data from the simulation environment to CSV format, the documented angle conventions do not match the actual output values. The documentatio",Documentation,High,Minor,In Progress,2024-03-10,,,Nicole Sanders,Customer,Yes,4.11.4,
BUG-000100,Predictive Maintenance AI,Performance - Error #100,Performance issue in Fleet Management Platform,Performance,Medium,Trivial,Fixed,2024-12-27,2025-02-21,56,Marcus Johnson,Customer,Yes,5.6.13,5.4.15
BUG-000101,Fleet Management Platform,Integration - Issue #101,"Bug Report: Vision System Pro - Camera Feed Desynchronization

Description:
During multi-camera inspection sequences, the Vision System Pro occasionally experiences desynchronization between camera feeds when running continuous inspection cycles for ",Integration,Medium,Major,Fixed,2024-12-29,2025-02-06,39,Nicole Sanders,Customer,Yes,2.11.0,5.13.7
BUG-000102,Simulation Tool,Data Integrity - Defect #102,Data Integrity issue in Simulation Tool,Data Integrity,Medium,Major,Open,2025-09-18,,,Marcus Johnson,Customer,Sometimes,4.1.2,
BUG-000103,Simulation Tool,UI/UX Issue - Defect #103,UI/UX Issue issue in Fleet Management Platform,UI/UX Issue,Medium,Minor,Closed,2025-05-13,2025-07-12,60,Marcus Johnson,Engineering,Yes,5.12.0,5.6.20
BUG-000104,Vision System Pro,Documentation - Problem #104,Documentation issue in Fleet Management Platform,Documentation,High,Major,Closed,2025-10-15,2025-10-22,7,Nicole Sanders,Engineering,Yes,2.0.8,3.4.14
BUG-000105,RobotOS Control Suite,Integration - Issue #105,Integration issue in Vision System Pro,Integration,Medium,Minor,Fixed,2023-12-09,2024-01-31,53,Marcus Johnson,Customer,No,5.5.8,3.12.1
BUG-000106,Predictive Maintenance AI,Integration - Error #106,"Bug Report: Inconsistent Robot Arm Positioning After E-Stop Recovery

Description:
When recovering from an emergency stop (E-Stop) activation, the RB-2000 robotic arm occasionally fails to return to its pre-E-Stop position coordinates. The position o",Integration,Medium,Major,Open,2025-04-14,,,Marcus Johnson,Customer,Yes,1.12.19,
BUG-000107,RobotOS Control Suite,Data Integrity - Defect #107,Data Integrity issue in Fleet Management Platform,Data Integrity,High,Critical,Wont Fix,2024-10-04,,,Rachel Green,Engineering,No,3.4.9,
